,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
x6cux,0.008071669098144631,30.0,0.12762365028349812,SGD,tanh,0.04333488608590822,78.0,147.0,0.7,0.15,200.0,60.0,0.7897434832602996,0.14631091638121452,0.8297619047619047,0.11437868242464273
CjPQJ,0.013075406074782588,100.0,0.16423551472025452,SGD,elu,0.07873491051819397,199.0,155.0,0.7,0.15,200.0,46.0,0.7290935284998982,0.1567504492514001,0.8172619047619047,0.055010435002676314
R5quz,0.0011134942540552508,70.0,0.040697464941244293,SGD,elu,0.08839179945681122,42.0,92.0,0.7,0.15,200.0,68.0,0.6147762505043132,0.21754287265944575,0.6458333333333335,0.18657177647698425
aZoq4,0.0012111568865928346,100.0,0.15792744189447722,SGD,tanh,0.07819408003961877,108.0,42.0,0.7,0.15,200.0,60.0,0.48206251499749586,0.16208213821714207,0.5791666666666667,0.1423614913439975
Vy9cP,3.3319918005924592e-06,30.0,0.26157086579717,SGD,relu,0.08280233692229377,147.0,136.0,0.7,0.15,200.0,24.0,0.45262131519274373,0.09765921159738629,0.536904761904762,0.09155063776062085
pjXWN,1.1887224919370534e-05,10.0,0.29783965386219124,adam,tanh,0.0347079399757399,109.0,108.0,0.7,0.15,200.0,52.0,0.7909529997629641,0.07524604303044093,0.8452380952380951,0.030699516567208627
edTSN,1.2595110010619445e-05,5.0,0.26412566050970365,adam,tanh,0.05975272733036682,131.0,164.0,0.7,0.15,200.0,29.0,0.7823916636202879,0.07545300145490118,0.8363095238095237,0.034733558240226586
gTQZ3,0.00041095413586157855,30.0,0.30024897532858996,SGD,relu,0.03517555123019526,121.0,120.0,0.7,0.15,200.0,52.0,0.5072857142857142,0.1368104519882989,0.575,0.11152417551076539
H5OGD,0.10258971917354877,10.0,0.3590735133148149,SGD,elu,0.07740493249545864,19.0,102.0,0.7,0.15,200.0,67.0,0.838494838700204,0.11925594405351277,0.8386904761904763,0.1134533802984018
CjvSA,0.001298293426732105,30.0,0.2420622880058348,adam,elu,0.025505017802916675,22.0,144.0,0.7,0.15,200.0,44.0,0.8459415758903006,0.062296830244531344,0.8571428571428571,0.021128856368212913
dU4Bb,0.00030022543397280067,5.0,0.17381338894906515,SGD,elu,0.017239630917437933,142.0,150.0,0.7,0.15,200.0,59.0,0.724344029316938,0.14885735101727368,0.7910714285714285,0.06662679504969532
eJxLq,5.970664856157572e-06,70.0,0.38249653529943367,adam,relu,0.09755161679271038,119.0,55.0,0.7,0.15,200.0,19.0,0.49293650793650795,0.09059965845070074,0.5535714285714286,0.1033385449640329
IxfVA,6.833263834383269e-05,30.0,0.136784434509138,SGD,relu,0.08617668885032971,45.0,134.0,0.7,0.15,200.0,14.0,0.5126398337112622,0.09234324797461789,0.5702380952380952,0.09780035427876606
G9Jcm,0.007697555003623182,10.0,0.24819959468226008,SGD,elu,0.06955992265255445,56.0,76.0,0.7,0.15,200.0,45.0,0.7870324387054928,0.12003767454336185,0.8369047619047618,0.027432663385245044
