,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
yjBjs,1.8725726398266103e-05,5.0,0.06034185430452511,adam,relu,6.435109391898796e-05,193.0,164.0,0.7,0.15,200.0,0.5537210437386973,0.04857609130081609,-1,-1
a5hD5,0.0007597165218705039,100.0,0.12388508047487362,adam,relu,1.3000119241216625e-05,140.0,71.0,0.7,0.15,200.0,0.5664178405425415,0.057931465738124875,-1,-1
SeY1e,0.09131981987603073,5.0,0.10594453700372293,adam,elu,3.735985142788498e-05,133.0,124.0,0.7,0.15,200.0,0.4854476418653738,0.02935180756473606,-1,-1
YVWDe,0.2786035804102076,100.0,0.14195144102100402,SGD,tanh,4.477909010138567e-05,89.0,21.0,0.7,0.15,200.0,0.5853269537500434,0.04176837118397636,-1,-1
uSJaZ,0.00014299862927395117,10.0,0.13209934969043227,adam,relu,3.727618563393944e-05,136.0,26.0,0.7,0.15,200.0,0.49085172425499524,0.012525723967608147,-1,-1
INzYN,0.011540965680439967,70.0,0.07372417888804005,SGD,relu,8.428550760507661e-05,86.0,171.0,0.7,0.15,200.0,0.4927688424428428,0.02905194844068222,-1,-1
m5Vaj,5.9369231511614145e-06,70.0,0.1038390606503834,adam,elu,6.768318118261052e-06,36.0,173.0,0.7,0.15,200.0,0.5011662345774234,0.021117319874827546,-1,-1
irjKM,0.23347834322289326,100.0,0.01366331000833733,adam,tanh,3.6625099528179605e-05,92.0,79.0,0.7,0.15,200.0,0.5528628126133135,0.049652750425065055,-1,-1
WlZoc,0.0008517275785218318,5.0,0.0015382515862780775,SGD,elu,4.9645699245174136e-05,22.0,87.0,0.7,0.15,200.0,0.5597681805947348,0.0645558236356194,-1,-1
CJ5IM,0.18516068008116499,50.0,0.0472872446401949,adam,elu,5.895692984117253e-05,76.0,25.0,0.7,0.15,200.0,0.5081201008373895,0.013280623254673166,-1,-1
bCiQX,0.11793733768766912,50.0,0.07778972445276632,adam,elu,5.276343002417938e-05,126.0,107.0,0.7,0.15,200.0,0.5545648612743324,0.06607257486201883,-1,-1
KfUrL,6.2070639846262666e-06,10.0,0.037226511467526466,adam,elu,3.5065741396768336e-05,33.0,133.0,0.7,0.15,200.0,0.5495093626638132,0.07060606006236374,-1,-1
EeU1w,0.0373864427292727,5.0,0.07376959740501736,SGD,tanh,7.408982831837874e-06,173.0,96.0,0.7,0.15,200.0,0.5596333640756731,0.05857948285837117,-1,-1
OjghN,0.0038744207161341164,5.0,0.12036491911658147,SGD,tanh,1.0934979925015443e-05,49.0,127.0,0.7,0.15,200.0,0.6049651008510615,0.06463384147871205,-1,-1
oPei6,0.002060320864509594,70.0,0.09075797838413413,adam,relu,8.631482010890325e-05,86.0,59.0,0.7,0.15,200.0,0.5160517848553299,0.08686347700765541,-1,-1
jo2tI,0.0007552935060508593,5.0,0.05976996638000662,adam,tanh,6.058513258959788e-05,193.0,97.0,0.7,0.15,200.0,0.5719106673869263,0.04787846690776963,-1,-1
nbhxD,0.006495483750411754,70.0,0.12762362653682596,SGD,elu,2.4258919024599058e-05,95.0,169.0,0.7,0.15,200.0,0.5226982903098494,0.07141227984566585,-1,-1
sykuD,1.069715052741171e-05,30.0,0.09629573374991506,SGD,relu,4.2355712346849785e-05,164.0,26.0,0.7,0.15,200.0,0.47754830710862467,0.019264664324242613,-1,-1
JD5wv,0.0017048822055451645,30.0,0.02720030698947379,SGD,tanh,6.89488403444357e-05,59.0,152.0,0.7,0.15,200.0,0.4958926516115477,0.059199416444531285,-1,-1
TwCII,0.0016274565329022917,10.0,0.06947073078892423,SGD,relu,6.934683699512673e-05,107.0,182.0,0.7,0.15,200.0,0.5079942279275478,0.042058377106006926,-1,-1
jynIp,0.00011148851811160962,100.0,0.14797073554996992,SGD,tanh,2.1483913840133107e-05,53.0,53.0,0.7,0.15,200.0,0.47807082952889857,0.022201432732595783,-1,-1
KnG07,0.017056417080598105,100.0,0.14460698095611085,SGD,tanh,9.986167979246632e-05,61.0,140.0,0.7,0.15,200.0,0.5185618564629741,0.06703523288383696,-1,-1
tihjR,0.47837788947771154,100.0,0.11318973022060498,SGD,tanh,2.209091374971989e-05,112.0,112.0,0.7,0.15,200.0,0.6455732753803781,0.06408815112582703,-1,-1
jvWnd,0.00012854773883578155,50.0,0.11180551991827667,SGD,tanh,2.3991632402530507e-05,12.0,116.0,0.7,0.15,200.0,0.4503534964656872,0.0751528093390471,-1,-1
bZrTk,1.5614075631504881e-06,100.0,0.11470878546824528,SGD,tanh,8.04946588953835e-08,106.0,144.0,0.7,0.15,200.0,0.4567634940807655,0.031356058837470245,-1,-1
MN6Rt,0.005424864696978773,5.0,0.08995921306902413,SGD,tanh,1.604679964681991e-05,118.0,117.0,0.7,0.15,200.0,0.5158835142736554,0.0617107048988012,-1,-1
gGZHs,0.0519127914273526,30.0,0.12023421344928052,SGD,tanh,9.945429671661685e-07,164.0,189.0,0.7,0.15,200.0,0.5749172359376316,0.036724944633786984,-1,-1
ObLts,0.4936885365780979,100.0,0.13510525974391518,SGD,tanh,2.9288863745729103e-05,150.0,43.0,0.7,0.15,200.0,0.5397414063443421,0.08348898963561902,-1,-1
