,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
msX2b,0.20103949335650428,10.0,0.052886387532203406,SGD,tanh,3.926799735207927e-05,92.0,137.0,0.7,0.15,200.0,0.6191823723023692,0.0537679773412627,-1,-1
C9WAa,0.0007878302561249882,70.0,0.11859020063577896,SGD,elu,5.2005851599943966e-05,171.0,167.0,0.7,0.15,200.0,0.49215677656329027,0.014618202119542267,-1,-1
lJbTH,0.01880774181477797,5.0,0.11487129049665164,adam,elu,9.641866478374461e-05,157.0,80.0,0.7,0.15,200.0,0.5092403953466311,0.05877847398078963,-1,-1
ArCQj,0.003984109901839833,5.0,0.07184306974487382,adam,relu,5.313588733929966e-05,23.0,143.0,0.7,0.15,200.0,0.5668626131966276,0.044642178660298126,-1,-1
sT1mQ,0.00032151544642691066,30.0,0.10724268797486282,SGD,elu,9.060192604124006e-06,148.0,75.0,0.7,0.15,200.0,0.4975536169891188,0.037433356136108556,-1,-1
l0jbP,0.03573854855288055,10.0,0.0012103167361597832,SGD,relu,6.876824826559945e-05,187.0,122.0,0.7,0.15,200.0,0.5614802317401104,0.06453582509242056,-1,-1
qOBrf,0.16620608357260994,50.0,0.10393875047226743,adam,tanh,8.574054551712547e-05,110.0,164.0,0.7,0.15,200.0,0.5334951316129545,0.062337748885408766,-1,-1
ClRrv,6.345791202411055e-06,100.0,0.14115764569847822,SGD,tanh,1.1228992932988957e-07,31.0,39.0,0.7,0.15,200.0,0.4146519112027686,0.08202802312788948,-1,-1
KJXTh,0.0005739281495131504,100.0,0.0898551240054438,SGD,relu,6.738371008629266e-05,18.0,128.0,0.7,0.15,200.0,0.48229921927305447,0.039514005678310156,-1,-1
MIdxg,0.11708583237739194,100.0,0.11969415132193736,SGD,tanh,7.922625146192309e-05,130.0,186.0,0.7,0.15,200.0,0.6149768319729547,0.02331215582532479,-1,-1
o1MjH,0.11577812083486709,5.0,0.07387485972693757,SGD,elu,4.538753200257694e-05,115.0,159.0,0.7,0.15,200.0,0.6683096305792088,0.041277032470734554,-1,-1
Tvcb1,1.2942720292588884e-05,50.0,0.09626548376147205,adam,tanh,8.417967581224506e-06,64.0,119.0,0.7,0.15,200.0,0.49945646255975557,0.039542312357688666,-1,-1
FBoBu,8.22985559399983e-06,5.0,0.0592155272635381,adam,tanh,2.90458493930304e-05,177.0,142.0,0.7,0.15,200.0,0.4953096881756249,0.07022865414549702,-1,-1
RYvoh,5.066691146271721e-06,100.0,0.11480550790042664,SGD,elu,9.087828875333122e-05,137.0,24.0,0.7,0.15,200.0,0.4595902380890894,0.061118478409776175,-1,-1
moSOf,0.3738612518510372,50.0,0.09248989806732197,SGD,tanh,2.002576341091902e-05,57.0,170.0,0.7,0.15,200.0,0.6127245190739966,0.06992266050651222,-1,-1
Krqd5,0.08686910918905344,30.0,0.13089851494116442,SGD,relu,9.562940558739375e-06,195.0,183.0,0.7,0.15,200.0,0.6490944366017927,0.03801982059444348,-1,-1
Qk58c,2.563506044345923e-06,50.0,0.0708759922260024,adam,elu,6.595812869431251e-05,185.0,164.0,0.7,0.15,200.0,0.4719258195510426,0.01741709156990865,-1,-1
SgkOl,0.0003007908112804778,30.0,0.045945352953850147,adam,elu,1.1522099215199611e-05,144.0,16.0,0.7,0.15,200.0,0.556429187705019,0.06692411476891226,-1,-1
