,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Kn9u4,2.180695219430115e-05,50.0,0.10932000275944005,SGD,elu,1.3236593511780782e-05,70.0,104.0,0.7,0.15,200.0,26.0,0.4582993955317577,0.04218857176981924,-1,-1
fFj2K,0.0028205412464869547,100.0,0.0012991430367083612,SGD,elu,9.755136533671147e-05,101.0,163.0,0.7,0.15,200.0,47.0,0.45262014401444023,0.023377990872266493,-1,-1
LWvsy,0.015869860004827055,5.0,0.03310455751331406,adam,elu,9.27471371460544e-05,171.0,94.0,0.7,0.15,200.0,18.0,0.488113157245197,0.03302237879413457,-1,-1
DJgea,1.0050505129495864e-06,30.0,0.08082869356704317,adam,tanh,3.0028452074408566e-05,54.0,132.0,0.7,0.15,200.0,25.0,0.49054639960569,0.037658676708066954,-1,-1
KxaVc,0.024809314979642557,100.0,0.050921669057131726,adam,tanh,7.425250628785628e-05,82.0,57.0,0.7,0.15,200.0,68.0,0.5020260568900836,0.03280914794407102,-1,-1
gyfac,3.610591545642385e-05,30.0,0.001585382489862608,adam,relu,7.130608884813567e-05,185.0,167.0,0.7,0.15,200.0,23.0,0.4438602383174408,0.047441940319043724,-1,-1
Mb8Xy,2.4092052964523816e-06,5.0,0.025092658756586943,adam,relu,1.3441965887482311e-05,167.0,150.0,0.7,0.15,200.0,19.0,0.49540357912098926,0.04291047344737238,-1,-1
GAsuB,0.009193700181829682,10.0,0.03710035245065174,SGD,elu,9.25562141587655e-05,135.0,112.0,0.7,0.15,200.0,43.0,0.6144816876483257,0.053248787698641775,-1,-1
sQjc1,4.953657421938174e-06,5.0,0.12853185657499153,adam,elu,9.438674199932268e-05,13.0,80.0,0.7,0.15,200.0,41.0,0.4814707521846868,0.026339821627878242,-1,-1
ueNg9,2.592411357573778e-05,50.0,0.05361083386138873,adam,relu,9.595917349065421e-05,109.0,49.0,0.7,0.15,200.0,35.0,0.5416584497106747,0.05855179706420948,-1,-1
qqvCK,0.057888314277060655,5.0,0.042293944730566885,adam,tanh,9.479889069634961e-05,109.0,139.0,0.7,0.15,200.0,45.0,0.5167492475148389,0.02976449478413978,-1,-1
LMMom,0.4613315016985682,70.0,0.13712649966448998,adam,tanh,6.953334141275973e-05,150.0,158.0,0.7,0.15,200.0,47.0,0.49791269139400357,0.03100837039401196,-1,-1
Jngn4,0.00033835259951988213,10.0,0.0950801036526258,adam,elu,6.0655756868147076e-05,141.0,185.0,0.7,0.15,200.0,19.0,0.5939941308586231,0.0775417572422242,-1,-1
GSp3G,0.0019060413122109225,10.0,0.041927671816770505,SGD,tanh,5.2762309585631566e-05,78.0,105.0,0.7,0.15,200.0,54.0,0.6054362236551794,0.02593250249489275,-1,-1
x7i5z,0.001409952657546389,50.0,0.05052384913701154,SGD,tanh,8.56827167200111e-05,184.0,135.0,0.7,0.15,200.0,23.0,0.48360677615666725,0.027879539057409405,-1,-1
PxJvR,0.014562900221897906,50.0,0.1181067750551564,adam,relu,9.730916054967808e-05,79.0,147.0,0.7,0.15,200.0,47.0,0.598578239346609,0.03923977099739423,-1,-1
Eaqjp,0.22187591415169583,70.0,0.018310100438753477,SGD,elu,8.946632443719415e-05,40.0,29.0,0.7,0.15,200.0,47.0,0.5785171077870146,0.028078016767228663,-1,-1
gXXQf,0.007540173528081137,5.0,0.0434092650831395,SGD,tanh,9.07907965087787e-05,11.0,187.0,0.7,0.15,200.0,21.0,0.5960528841577387,0.047848707031142385,-1,-1
n57uT,4.393020568649644e-06,50.0,0.02811219329502788,SGD,relu,1.8813484185478337e-05,160.0,15.0,0.7,0.15,200.0,10.0,0.47680652293324394,0.027100156289362746,-1,-1
d1vsb,6.792660795697378e-06,100.0,0.041660076130875676,SGD,tanh,9.995562746527347e-05,177.0,153.0,0.7,0.15,200.0,11.0,0.48262219590675814,0.03856503309379308,-1,-1
XJ77N,0.0006650614680167624,10.0,0.06979045944146148,SGD,elu,4.2677040217573634e-05,123.0,116.0,0.7,0.15,200.0,58.0,0.4490704397717165,0.03137671768743584,-1,-1
t2Qnl,0.00015974450910237372,10.0,0.06781814452059044,SGD,elu,1.4053718515559194e-06,125.0,79.0,0.7,0.15,200.0,56.0,0.4773416860313011,0.04397292291163925,-1,-1
jDjhD,0.10558803252727042,10.0,0.015327488453925352,SGD,tanh,4.700442495458227e-05,33.0,121.0,0.7,0.15,200.0,58.0,0.5904962610964416,0.028544643258342637,-1,-1
YZZUi,0.003628332816143354,10.0,0.011526447896156106,SGD,elu,3.5553083450234966e-05,89.0,85.0,0.7,0.15,200.0,68.0,0.6300414641832934,0.037055723220951055,-1,-1
yFk8J,0.0035593098725442795,10.0,0.010889598509900907,SGD,elu,3.558544279631389e-05,197.0,64.0,0.7,0.15,200.0,68.0,0.5261566898498541,0.04078312909816208,-1,-1
frzLF,0.0001002372914531577,10.0,0.004342817220290937,SGD,elu,2.7720039263618546e-05,134.0,43.0,0.7,0.15,200.0,32.0,0.4881787764511717,0.018276183551837553,-1,-1
ZlG9O,0.056064054307110714,10.0,0.0811470603950017,SGD,elu,5.974719813817024e-05,63.0,78.0,0.7,0.15,200.0,63.0,0.5722347046838931,0.07589978780938526,-1,-1
GC8CZ,0.007099080433550251,70.0,0.022013914826258883,SGD,elu,5.786200785937032e-07,89.0,91.0,0.7,0.15,200.0,52.0,0.4862935289408786,0.06585727359097285,-1,-1
QGvko,0.0006173409905722932,30.0,0.05586386118411242,SGD,elu,8.227179013025926e-05,98.0,117.0,0.7,0.15,200.0,35.0,0.45814898612137334,0.03668425079559904,-1,-1
MHh91,0.3047946450992326,10.0,0.09457596034865756,SGD,elu,3.832482609056051e-05,119.0,94.0,0.7,0.15,200.0,64.0,,,-1,-1
qakRx,0.00023980229635625551,10.0,0.09401041578810865,SGD,elu,3.88097430876806e-05,124.0,108.0,0.7,0.15,200.0,62.0,0.47469767257516365,0.01223247803480644,-1,-1
vbKrL,0.005642151280787357,10.0,0.008858922272126741,SGD,elu,2.305101431335304e-05,153.0,68.0,0.7,0.15,200.0,31.0,0.5764671319086683,0.07303800102962314,-1,-1
Djxy5,0.0012970633103122798,100.0,0.03207140879305646,SGD,elu,5.379883907926494e-05,60.0,93.0,0.7,0.15,200.0,70.0,0.4716041906332825,0.031087023948679824,-1,-1
ZBMNB,0.02449970325847693,10.0,0.06434107818238635,SGD,elu,1.2303176533515274e-05,41.0,169.0,0.7,0.15,200.0,42.0,0.5747578306392832,0.04298076378038341,-1,-1
raA3t,0.49384596716244555,30.0,0.031060698469319702,SGD,elu,7.791676066741598e-05,93.0,32.0,0.7,0.15,200.0,15.0,0.5282917973667622,0.05786617656923695,-1,-1
gfhlb,0.19091994558918018,100.0,0.08157302988432369,SGD,elu,6.207714801574634e-05,111.0,199.0,0.7,0.15,200.0,63.0,0.5841446085083767,0.04951962779018774,-1,-1
yKgaL,7.048147445158568e-05,70.0,0.0019016440934708084,SGD,relu,3.405895889426004e-05,136.0,98.0,0.7,0.15,200.0,28.0,0.49092977908906577,0.017770748232303457,-1,-1
