trialJobId,activation,intermediate,optimizer,dropout,test_frac,learning_rate,layer_1,preweight,epochs,batch_size,layer_2,train_frac,regularization,reward
pCtXP,elu,"[0.980952380952381,0.9934803702045081]",adam,0.3089749331268666,0.15,0.0016959567077400243,85,30,200,50,12,0.7,0.08271675296016036,0.9934803702045081
PYkDG,elu,"[0.9785714285714286,0.9777485593452477]",adam,0.033085593554691116,0.15,0.0002721373782980403,175,66,200,30,31,0.7,0.028953602931923606,0.9777485593452477
qgSAv,elu,"[0.9708333333333334,0.9893591722165439]",adam,0.39743886519936134,0.15,0.003215677112796453,16,21,200,5,44,0.7,0.046697820968731034,0.9893591722165439
N0xcT,relu,"[0.9238095238095237,0.9443086281800437]",SGD,0.13206581634262365,0.15,0.0017760830491052376,121,27,200,70,180,0.7,0.017033147292174377,0.9443086281800437
IJDhj,tanh,"[0.9261904761904762,0.9172811289587605]",adam,0.022083732465150652,0.15,8.53236105639165e-06,196,13,200,70,34,0.7,0.005929203792883853,0.9172811289587605
c4ixG,relu,"[0.5,0.5594621545619123]",adam,0.23829646081949513,0.15,0.48880108864544053,53,48,200,30,15,0.7,0.04050889731108771,0.5594621545619123
guhOz,relu,"[0.5188988095238095,0.84042466388241]",adam,0.17423546696158693,0.15,0.1418421361560322,185,51,200,30,149,0.7,0.0458224782442936,0.84042466388241
PpfJY,relu,"[0.4752976190476191,0.6230955365303192]",adam,0.3968207149079783,0.15,0.42432809899702045,196,27,200,50,191,0.7,0.020950316838525596,0.6230955365303192
gzYAm,elu,"[0.8955357142857142,0.8972508361002853]",adam,0.015710226618993416,0.15,5.153231596115674e-06,198,38,200,70,95,0.7,0.06504169302026211,0.8972508361002853
tpKbr,elu,"[0.9782738095238097,0.9909664679232982]",adam,0.15314308745637742,0.15,0.00014018831836202955,184,57,200,10,52,0.7,0.0336763784623499,0.9909664679232982
iuIZO,elu,"[0.9726190476190476,0.9888644187598755]",SGD,0.38513565357200163,0.15,0.015066019174218355,32,59,200,5,38,0.7,0.06399230404939829,0.9888644187598755
cjUaw,relu,"[0.7538690476190476,0.687179107993566]",SGD,0.1788453516002486,0.15,0.0003446662785004549,90,31,200,100,45,0.7,0.03606394434180763,0.687179107993566
L2QtP,elu,"[0.7922619047619047,0.9372943508165976]",adam,0.21482547344551867,0.15,0.0718052298680549,106,63,200,50,114,0.7,0.06659639786315238,0.9372943508165976
R1twG,relu,"[0.9267857142857142,0.9755196925231712]",SGD,0.23927174798223994,0.15,0.040553575132474734,14,58,200,5,129,0.7,0.09953659661571915,0.9755196925231712
KSJaR,relu,"[0.962797619047619,0.9730957106951708]",SGD,0.32956106753173364,0.15,0.031479956075297376,98,19,200,100,191,0.7,0.07776614819073945,0.9730957106951708
ThqvW,elu,"[0.9660714285714287,0.9671316826596771]",SGD,0.319651183161623,0.15,0.009363177567742756,60,54,200,70,66,0.7,0.09072231581077474,0.9671316826596771
ZEvpW,tanh,"[0.6029761904761906,0.6217495867154978]",SGD,0.27123784565190684,0.15,2.0844515488166708e-05,122,10,200,70,55,0.7,0.07981834828773693,0.6217495867154978
HgMal,tanh,"[0.9651785714285713,0.983703538276832]",adam,0.14273604939180093,0.15,0.02809801162321884,128,33,200,30,19,0.7,0.07509280874714169,0.983703538276832
avpPl,tanh,"[0.9342261904761905,0.9495554778043237]",SGD,0.2842959769394642,0.15,0.4981948912512382,51,50,200,70,35,0.7,0.03695723910471712,0.9495554778043237
KlDAP,tanh,"[0.9324404761904763,0.8932433523648694]",adam,0.1276714659824532,0.15,2.041487273445712e-06,132,49,200,50,85,0.7,0.0051893986586618816,0.8932433523648694
YhMHp,elu,"[0.9770833333333334,0.9676146138258105]",adam,0.06865095192969314,0.15,8.077154810058181e-05,161,43,200,10,77,0.7,0.05620361111037127,0.9676146138258105
us8rO,elu,"[0.9744047619047619,0.9804888550149616]",adam,0.08351275728954041,0.15,0.00012290378039048986,74,40,200,10,12,0.7,0.0915696279835731,0.9804888550149616
VZbWg,elu,"[0.9782738095238095,0.99517832790144]",adam,0.35900675756390144,0.15,0.000991562309755349,148,43,200,10,64,0.7,0.0176117904080482,0.99517832790144
jBCZA,elu,"[0.9705357142857143,0.993789539811367]",adam,0.3509107234518678,0.15,0.0015042954787880959,146,35,200,50,107,0.7,0.013790536147828873,0.993789539811367
YQtAF,elu,"[0.9755952380952382,0.9817369180527076]",adam,0.35906080203968266,0.15,0.0007072299390548243,153,44,200,10,143,0.7,6.281400407982286e-05,0.9817369180527076
ZjRVo,elu,"[0.975,0.9872466661305671]",adam,0.36038600152962447,0.15,0.005842558622672469,146,36,200,10,110,0.7,0.014649965750429395,0.9872466661305671
D0q05,elu,"[0.969345238095238,0.9762667000271357]",adam,0.3517223884346732,0.15,4.636511196442602e-05,164,22,200,50,72,0.7,0.02665189675374109,0.9762667000271357
PKIQO,elu,"[0.9741071428571427,0.9833891277804321]",adam,0.27971151186703436,0.15,0.0008858530103509004,145,43,200,100,168,0.7,0.01021173363145748,0.9833891277804321
pX0GJ,elu,"[0.9690476190476189,0.9918910913647757]",adam,0.2992901193938523,0.15,0.0027490193698235872,109,35,200,50,98,0.7,0.024180541383926658,0.9918910913647757
gtiTh,elu,"[0.981547619047619,0.982315800395892]",adam,0.332311776402462,0.15,0.00039501833949537774,173,27,200,10,85,0.7,0.003914000484823895,0.982315800395892
lLycq,elu,"[0.9788690476190478,0.97798088843093]",adam,0.26009565812355245,0.15,0.000916721770401051,139,16,200,50,126,0.7,0.014333965039850712,0.97798088843093
UT5yq,elu,"[0.9758928571428571,0.9894665187342533]",adam,0.3725363663291722,0.15,0.005864148600394494,114,40,200,10,120,0.7,0.0553537234774605,0.9894665187342533
rMZhE,elu,"[0.9758928571428571,0.9820886818495514]",adam,0.39889962830822556,0.15,3.1040672369153966e-05,168,68,200,5,61,0.7,0.00040271652530929694,0.9820886818495514
SsW7u,tanh,"[0.9785714285714286,0.9921623770460979]",adam,0.310132151794836,0.15,0.0020540157563314395,75,24,200,50,140,0.7,0.0310242592959966,0.9921623770460979
NwCp9,elu,"[0.9755952380952382,0.9936350934115918]",adam,0.21124489385924877,0.15,0.00024035876009186036,182,46,200,100,159,0.7,0.02107340317905669,0.9936350934115918
qg6C3,elu,"[0.9782738095238095,0.9869370104327704]",adam,0.34046033454947366,0.15,0.0013650768617551167,154,30,200,30,103,0.7,0.04447559433048792,0.9869370104327704
GZ31O,elu,"[0.5029761904761905,0.7097697115680128]",adam,0.37633598827912373,0.15,0.1349008028458575,136,55,200,50,22,0.7,0.008710718165651691,0.7097697115680128
xu4bc,relu,"[0.9699404761904763,0.9929967626542705]",adam,0.2329553044899932,0.15,0.004471245045053478,98,63,200,10,93,0.7,0.05174298716053967,0.9929967626542705
IsRio,tanh,"[0.9336309523809524,0.9766800034035011]",adam,0.2978311756487185,0.15,0.012440333874785105,118,37,200,5,84,0.7,0.016797819787564033,0.9766800034035011
XnESr,elu,"[0.5982142857142858,0.4874516778813606]",SGD,0.25045244865136373,0.15,1.095724150302065e-05,153,53,200,30,132,0.7,0.025403165501319123,0.4874516778813606
ylcab,relu,"[0.9758928571428571,0.9761747171245834]",adam,0.3957082034810464,0.15,0.00020911338100347047,190,31,200,50,177,0.7,0.04272993567476428,0.9761747171245834
uwKK6,elu,"[0.8797619047619047,0.8909508513740697]",adam,0.19461289107803303,0.15,1.8856104796620731e-06,177,25,200,10,47,0.7,0.030078562070731854,0.8909508513740697
IqFQj,elu,"[0.9699404761904761,0.9964848611427559]",adam,0.10187223412240648,0.15,0.0004242303460692668,199,46,200,50,29,0.7,0.011085554399703407,0.9964848611427559
j8IqI,relu,"[0.5303571428571429,0.5509096960736308]",SGD,0.052781230829890495,0.15,5.017424143632881e-06,198,63,200,100,27,0.7,0.019940818850909425,0.5509096960736308
QPQji,elu,"[0.9803571428571427,0.977739076712761]",adam,0.10564628708836307,0.15,0.00047482851893082973,190,47,200,5,39,0.7,0.03812302912483159,0.977739076712761
PpbHh,tanh,"[0.5895833333333333,0.6318340389438394]",SGD,0.0393441696136258,0.15,7.492156863407816e-05,29,60,200,30,58,0.7,0.00998855166243047,0.6318340389438394
L1rip,relu,"[0.9220238095238095,0.9406498007246646]",adam,0.004471698396073975,0.15,1.758828534655267e-05,179,52,200,70,69,0.7,0.04918913304181664,0.9406498007246646
f9aba,elu,"[0.9738095238095237,0.9886468817041518]",adam,0.16480835151081577,0.15,0.0001893103125577992,127,56,200,10,26,0.7,0.0030188050346963372,0.9886468817041518
EUZm4,elu,"[0.8842261904761906,0.9509012404279668]",SGD,0.10202259318425065,0.15,0.2429677025972648,171,41,200,50,49,0.7,0.0699503255362709,0.9509012404279668
OXodB,tanh,"[0.98125,0.9848684496629702]",adam,0.1242254678773392,0.15,0.019474759664419777,98,47,200,70,32,0.7,0.03136175336281284,0.9848684496629702
Bt48g,relu,"[0.9196428571428571,0.9616273359048751]",SGD,0.1878559816687914,0.15,0.05127188014882566,199,33,200,10,10,0.7,0.0602817927635131,0.9616273359048751
DpA5h,elu,"[0.9645833333333333,0.9629097594341595]",adam,0.02790803875957415,0.15,9.321133105981004e-05,191,50,200,100,199,0.7,0.020732887416797227,0.9629097594341595
WMuj5,elu,"[0.9711309523809524,0.9548486147675254]",adam,0.15125893165986398,0.15,4.077262885991517e-06,84,61,200,5,43,0.7,0.007911488663976939,0.9548486147675254
IzdZe,tanh,"[0.9779761904761906,0.9789742698008308]",adam,0.00012013071533847897,0.15,5.130802842181129e-05,157,68,200,30,77,0.7,0.034399670692159885,0.9789742698008308
W5yvC,elu,"[0.9681547619047619,0.9716312025028275]",SGD,0.07019001812549977,0.15,0.008505634929929631,59,44,200,50,61,0.7,0.012061359236225535,0.9716312025028275
mEZzr,relu,"[0.6818452380952381,0.6793181699303503]",adam,0.0977778099325674,0.15,1.144569768782892e-06,166,11,200,10,20,0.7,0.0009510792068296373,0.6793181699303503
JNoAB,elu,"[0.98125,0.9910721286960454]",adam,0.21761756895177467,0.15,0.0005052132542755534,39,39,200,70,90,0.7,0.04054239788407421,0.9910721286960454
JbPIC,elu,"[0.9630952380952381,0.9584556618808684]",SGD,0.05337834269397267,0.15,0.0034829446434200386,124,19,200,50,54,0.7,0.09186952665726042,0.9584556618808684
r2QcR,tanh,"[0.974702380952381,0.968981262578642]",adam,0.17067105743187716,0.15,1.0817824979626242e-05,138,29,200,10,15,0.7,0.08535559744365381,0.968981262578642
nbUuC,elu,"[0.8654761904761905,0.9480561508314244]",adam,0.1381809346387559,0.15,0.11918873542739244,90,42,200,50,39,0.7,0.017890523287944243,0.9480561508314244
lluPK,elu,"[0.9729166666666667,0.9935937868386381]",adam,0.11864924913707674,0.15,0.002127220219609453,185,33,200,5,75,0.7,0.023739812639686393,0.9935937868386381
FbIHb,relu,"[0.9735119047619047,0.9813098773579718]",adam,0.08701225748690933,0.15,0.0011134953246806367,161,38,200,100,100,0.7,0.09900550184915644,0.9813098773579718
ENyUb,elu,"[0.9077380952380952,0.9020017898391322]",SGD,0.017438457067367866,0.15,0.00015847626517749062,112,57,200,10,114,0.7,0.0275072597135278,0.9020017898391322
EqItk,tanh,"[0.9803571428571429,0.9828958996808537]",adam,0.22404564856440595,0.15,0.00034284426399577123,143,46,200,30,64,0.7,0.004047665043954277,0.9828958996808537
J8W5D,elu,"[0.7351190476190477,0.9809456814654872]",adam,0.18150911970996625,0.15,0.07454230867710113,131,66,200,70,52,0.7,0.007013936096354397,0.9809456814654872
yd4Np,elu,"[0.9773809523809524,0.983657086022815]",adam,0.3218950779866265,0.15,0.0006902426400155352,147,35,200,50,121,0.7,0.013490932206917917,0.983657086022815
dxHDn,elu,"[0.9764880952380952,0.9711374646437546]",adam,0.34576014575923275,0.15,0.001920927971671574,119,49,200,50,107,0.7,0.0174849662307656,0.9711374646437546
LudNa,elu,"[0.9744047619047619,0.9828366370471633]",adam,0.36664250317847025,0.15,0.0034153843197964745,150,28,200,50,156,0.7,0.01172044984451627,0.9828366370471633
ASScE,elu,"[0.9651785714285713,0.9838212377121544]",adam,0.3830774701682401,0.15,0.021619122532142113,173,34,200,50,139,0.7,0.023560826801047513,0.9838212377121544
DeMIk,elu,"[0.9758928571428571,0.9888465819807812]",adam,0.26036631077383426,0.15,0.00588980506066138,101,45,200,50,88,0.7,0.03363529441106883,0.9888465819807812
NOJ8R,elu,"[0.9773809523809524,0.986213885772264]",adam,0.2945261072140488,0.15,0.0012919008161084349,72,26,200,50,80,0.7,0.015092365083751008,0.986213885772264
ZzRdU,elu,"[0.9788690476190476,0.9656126979885762]",adam,0.277614405428216,0.15,0.00011168335421641161,86,22,200,50,67,0.7,0.0004158343551437151,0.9656126979885762
kDHVJ,elu,"[0.9779761904761906,0.9918288474810213]",adam,0.31178749880269685,0.15,0.00027368626173945144,160,37,200,10,133,0.7,0.038110526256148164,0.9918288474810213
JaLHG,elu,"[0.9741071428571428,0.9805688004698576]",adam,0.39052149302869077,0.15,5.9313314662279136e-05,106,41,200,50,94,0.7,0.04795596476598897,0.9805688004698576
CX9QG,elu,"[0.9833333333333334,0.977442667507668]",adam,0.33095784920903376,0.15,0.0006353715845988699,134,52,200,5,113,0.7,0.05195252507012711,0.977442667507668
YCwBu,elu,"[0.975297619047619,0.9670941912343556]",adam,0.3546858713222252,0.15,2.9933675368126353e-05,193,19,200,100,120,0.7,0.005863539409674386,0.9670941912343556
j0rgc,relu,"[0.9657738095238095,0.9881149196550212]",adam,0.2459379950571915,0.15,0.0026091428503778936,10,43,200,10,149,0.7,0.028355520190941206,0.9881149196550212
