,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
OzOiV,1.6376004094605403e-05,100.0,0.24552799903896091,SGD,elu,0.03695969310251781,66.0,60.0,0.7,0.15,200.0,49.0,0.5026396350160016,0.04980099273731929,0.5518341307814991,0.07385248362338397
M7LCU,0.00024020462232349644,70.0,0.1531994691046478,adam,tanh,0.070451411874647,56.0,70.0,0.7,0.15,200.0,52.0,0.752597579664917,0.13598767111419702,0.8633173843700159,0.05689131810483418
tDRhd,0.00017251755158798196,100.0,0.0025502304440880863,SGD,elu,0.07086285739951258,75.0,74.0,0.7,0.15,200.0,39.0,0.46097555469548884,0.14399668750219283,0.5523125996810206,0.14231990191322627
XzNvc,0.3039874350854207,70.0,0.3886650604600734,SGD,elu,0.07869659284511639,151.0,11.0,0.7,0.15,200.0,37.0,0.6191011580729648,0.11785151461622934,0.6146730462519936,0.13732548287317875
RK0lh,0.0010816500782019865,30.0,0.011959217205629225,SGD,elu,0.03553159333107205,45.0,150.0,0.7,0.15,200.0,56.0,0.4610806986724999,0.1485225453409199,0.6017543859649124,0.18141067682975315
F3SNv,0.0944252982761414,10.0,0.23870044493919207,adam,tanh,0.06266853918277142,117.0,109.0,0.7,0.15,200.0,34.0,0.6449867896551572,0.07959620019182011,0.49888357256778315,0.13401694748754317
Fe4si,1.259720346504363e-05,70.0,0.12573371464070468,adam,relu,0.019373518314459284,105.0,183.0,0.7,0.15,200.0,22.0,0.5298505473644785,0.05640347731726554,0.5609250398724083,0.09491321737377159
QeHwD,0.003520359762232916,10.0,0.08164343490202826,SGD,tanh,0.04015589331147088,94.0,52.0,0.7,0.15,200.0,70.0,0.6788389297779963,0.1506467359853584,0.7610845295055821,0.14561639334906964
QNCEV,1.8005796602569374e-05,50.0,0.19031322847894297,SGD,elu,0.051047186565418096,183.0,183.0,0.7,0.15,200.0,12.0,0.4289139696216454,0.14626396001450992,0.5424242424242424,0.15262324592819326
vUiwC,0.291771850467752,50.0,0.01446707285726947,SGD,relu,0.08599540268178672,94.0,140.0,0.7,0.15,200.0,16.0,0.5976043873567093,0.1274104218780634,0.6016746411483254,0.1429441130003457
ATQHv,0.07191671162036252,30.0,0.26666559272109314,adam,relu,0.06592987594172837,148.0,29.0,0.7,0.15,200.0,61.0,0.5691906292248987,0.06974441274085551,0.5,0.0
gC9QC,0.003069587823579593,100.0,0.34477971094229476,SGD,relu,0.03447052762912577,25.0,12.0,0.7,0.15,200.0,46.0,0.49366828311992633,0.06332141829709587,0.5447368421052632,0.10641703010682807
hJQGY,0.01710802529778443,5.0,0.10870204745367436,SGD,tanh,0.005899471096560327,122.0,163.0,0.7,0.15,200.0,26.0,0.8406816081764713,0.07037013595863793,0.8666666666666666,0.015711145589824248
yRn1X,0.012131777977519497,30.0,0.35239329222380705,adam,relu,0.01922168631226421,190.0,169.0,0.7,0.15,200.0,18.0,0.7552825217178061,0.11546499584193706,0.6611642743221691,0.1784176709117695
H4eCF,0.006713877090757399,50.0,0.39976641392198087,adam,elu,0.027160453437468382,71.0,150.0,0.7,0.15,200.0,14.0,0.8227856002356775,0.11966745711916317,0.816267942583732,0.08732345075480026
kZRmQ,0.07507871092154678,50.0,0.22663434306178332,SGD,relu,0.07128723242651873,133.0,128.0,0.7,0.15,200.0,36.0,0.5187483031674208,0.05568399266834077,0.5330940988835725,0.08396962576596247
S4Blk,2.155455694307503e-06,5.0,0.25232509043345536,SGD,elu,0.09509891967606271,135.0,47.0,0.7,0.15,200.0,65.0,0.37161026410679077,0.14246373506814636,0.4154704944178628,0.1529508908298991
k5lHl,2.5727598642935933e-06,5.0,0.25561661967428856,adam,relu,0.014734676987034368,50.0,85.0,0.7,0.15,200.0,33.0,0.5450447246820098,0.12708232462290955,0.6003189792663477,0.11266325561127105
rVXZ7,0.0012824763929404626,100.0,0.10404862878860827,SGD,elu,0.07661704232915298,133.0,138.0,0.7,0.15,200.0,66.0,0.47237723599308373,0.12034299245470038,0.509090909090909,0.15703825832551788
ro8Z8,0.008074062106010348,5.0,0.26882608444722483,SGD,relu,0.059634408099321405,49.0,91.0,0.7,0.15,200.0,67.0,0.6433899880191847,0.10934859373986071,0.7147527910685805,0.15357909696337663
H006s,0.012829750837023165,10.0,0.06258505872694049,SGD,tanh,0.07246940483035068,24.0,26.0,0.7,0.15,200.0,29.0,0.6422448173094919,0.12075340025914431,0.7843700159489633,0.11005200741043115
OhLVL,1.5471140189607246e-05,10.0,0.34649571858867934,adam,elu,0.08186854424163556,41.0,112.0,0.7,0.15,200.0,49.0,0.6598942994148402,0.10783293784549237,0.7317384370015949,0.13252772810608573
loi17,0.0039135223896283895,10.0,0.05070007870350582,adam,relu,0.07907537104741036,146.0,192.0,0.7,0.15,200.0,12.0,0.574220980524207,0.12153271809878755,0.49736842105263157,0.02324954622991008
K6TaO,0.0097970496084497,5.0,0.16472768965812246,adam,relu,0.027503207061080438,30.0,179.0,0.7,0.15,200.0,16.0,0.7187639907782434,0.104096427543138,0.5792663476874003,0.15853911333877999
OJkbe,0.0016761567219391977,100.0,0.0631960356170393,SGD,elu,0.05924211020645788,49.0,124.0,0.7,0.15,200.0,44.0,0.450743291149511,0.06147288638746719,0.5405103668261564,0.09885900296704316
lnhck,0.000116434947102885,30.0,0.028580170677435436,adam,relu,0.04942967088205366,74.0,175.0,0.7,0.15,200.0,39.0,0.6911222286585449,0.15618051752457215,0.7587719298245614,0.17417051132994177
IOr4Q,1.0207008390293495e-06,5.0,0.23113254158821162,SGD,tanh,0.010561011934453536,175.0,151.0,0.7,0.15,200.0,57.0,0.4125450001850076,0.13080834176538123,0.533652312599681,0.14186546838650613
Xw1ep,0.3752992526057073,5.0,0.04020298441019521,adam,tanh,0.05626748908395423,34.0,30.0,0.7,0.15,200.0,64.0,0.688368187204552,0.07163354316256906,0.514274322169059,0.15029410190159903
XGnxV,0.0003305910153634231,30.0,0.06909159733796129,SGD,relu,0.0887393384138454,29.0,80.0,0.7,0.15,200.0,42.0,0.49917340976881147,0.08361401785309112,0.5426634768740033,0.0929259815747561
CRIHl,0.00014793266444414267,50.0,0.07562224554236296,SGD,elu,0.042041454283731385,19.0,72.0,0.7,0.15,200.0,51.0,0.4210268835389008,0.1199752824800746,0.49665071770334934,0.11026767679042475
DPE2I,6.6254673714956e-05,30.0,0.2713315594165564,SGD,relu,0.09791742019146536,200.0,41.0,0.7,0.15,200.0,60.0,0.4669400533920238,0.07094942117225156,0.5447368421052632,0.1546853972425739
VGy1v,1.878231168544144e-05,50.0,0.31890821652045975,SGD,tanh,0.03236101628355128,83.0,11.0,0.7,0.15,200.0,37.0,0.4676219290484499,0.10763958772235749,0.5320574162679426,0.18765255006229523
x9bOM,0.00015322843087191328,5.0,0.007816785992316166,adam,elu,0.051323690776273856,18.0,169.0,0.7,0.15,200.0,50.0,0.8287060096680559,0.13395682018361751,0.860127591706539,0.07937409842924999
eGrpx,0.17766673562819754,5.0,0.23277410869072215,SGD,tanh,0.022702400917994983,17.0,47.0,0.7,0.15,200.0,53.0,0.8008362072064937,0.14962402122466884,0.785805422647528,0.16420431762761445
MrQve,0.0026185163718287245,10.0,0.14251889999979844,SGD,relu,0.029859199034360198,132.0,200.0,0.7,0.15,200.0,29.0,0.6440804489628019,0.14815554251495025,0.6895534290271133,0.19006455602722677
v1uPl,3.2178226613592604e-06,30.0,0.22789712825923494,adam,elu,0.07600960088995981,100.0,92.0,0.7,0.15,200.0,60.0,0.5181279824691118,0.11115818798064878,0.5562998405103668,0.1396418949490655
vaLeZ,0.025401971420130665,50.0,0.2032922376967072,adam,relu,0.07595513438615818,117.0,190.0,0.7,0.15,200.0,52.0,0.6090142202641703,0.12444709248424707,0.5,0.0
tHC56,0.00026963438985858626,50.0,0.3984389403861053,SGD,tanh,0.08367695597842308,92.0,88.0,0.7,0.15,200.0,51.0,0.43681110102438303,0.11111790315237244,0.45797448165869226,0.12580691987585696
Suai9,0.0626598745791494,30.0,0.21177803595060174,SGD,tanh,0.08438615732804795,116.0,150.0,0.7,0.15,200.0,47.0,0.6317147222084343,0.12776266083825252,0.6786283891547049,0.17230528048076446
jGgVz,0.1520288694433117,70.0,0.18221735970028258,adam,tanh,0.09013735051630445,77.0,198.0,0.7,0.15,200.0,29.0,0.6695148244786956,0.10949315270418791,0.4597288676236044,0.06807540872456995
capL4,0.022164117440578262,10.0,0.18930973606510715,SGD,elu,0.09112476381861946,152.0,136.0,0.7,0.15,200.0,59.0,0.7132051677242802,0.04735926758389045,0.7824561403508772,0.09097677885247903
XYjTF,4.1257195711760805e-06,10.0,0.11188671090445741,adam,elu,0.08830350697005189,111.0,84.0,0.7,0.15,200.0,61.0,0.5388237182141071,0.1744119851100068,0.6548644338118021,0.1449833578020754
