layer_2,dropout,regularization,activation,epochs,layer_1,test_frac,train_frac,preweight,trialJobId,batch_size,reward,optimizer,learning_rate
196,0.19814043360012978,0.005970837767758619,relu,200,155,0.15,0.7,8,QTmTJ,10,0.4817091042169898,SGD,6.47530000571903e-05
116,0.08293780419110695,0.09748717974911664,tanh,200,145,0.15,0.7,8,pVkbX,70,0.5199434716892727,adam,0.01660319141426384
61,0.1289906204346626,0.04806417234470615,relu,200,32,0.15,0.7,9,jd7W7,5,0.5466150206497331,SGD,0.0037647730937797057
148,0.10782300328283122,0.0030608527794843358,elu,200,118,0.15,0.7,8,mt73Q,70,0.49113569444722804,SGD,0.00020733609511919168
30,0.2979571807407361,0.016389745742703844,relu,200,195,0.15,0.7,7,CwTAA,5,0.5998384413258077,adam,0.0024914690411144335
87,0.10304010394777713,0.039414355972585725,tanh,200,131,0.15,0.7,7,zjAeZ,5,0.5821320033866388,adam,1.169024752630114e-05
104,0.34123118751251774,0.05685079472014906,elu,200,77,0.15,0.7,9,F1sdq,50,0.5840224162431595,adam,5.5752316346950166e-05
53,0.256203905669489,0.05213839923856889,relu,200,32,0.15,0.7,10,aCAb6,100,0.45830643207523786,SGD,0.007710743658870563
181,0.11853188392527897,0.01649137030158492,tanh,200,71,0.15,0.7,4,hiw0A,70,0.5074105328328398,adam,8.85927923853852e-05
170,0.20065310823586635,0.06053092167670054,relu,200,113,0.15,0.7,8,j47I1,10,0.4946778943569347,SGD,0.0007605401740546163
174,0.1869183102616169,0.04207275857320656,relu,200,13,0.15,0.7,6,ZIoLt,50,0.5204089745200926,SGD,0.48686807170656754
100,0.25797240444228786,0.04032876933381249,elu,200,130,0.15,0.7,2,nAzOb,50,0.5895505119000098,adam,0.00020752235554228192
163,0.3446534408630846,0.07369219359387667,tanh,200,127,0.15,0.7,9,GN7DW,30,0.5089041504425821,adam,0.40896044347223687
195,0.3767245580528489,0.07046962329786347,elu,200,44,0.15,0.7,7,sg8Dq,100,0.4835076887592128,SGD,5.80013050772826e-06
154,0.15112744583165685,0.06969217195444337,tanh,200,60,0.15,0.7,9,syxkl,100,0.5661951153249232,adam,0.004446751175877536
13,0.38815994050204533,0.04362191184474526,tanh,200,150,0.15,0.7,3,vZaCR,70,0.5173779341598023,SGD,0.2767063066433753
127,0.24746704924018195,0.04846488309145,relu,200,89,0.15,0.7,7,lQSMp,100,0.5051458530170126,adam,0.42160354434568315
39,0.14029247374961518,0.09798321385399938,elu,200,103,0.15,0.7,4,HGtmK,70,0.5484101917670837,adam,0.0005862573901502828
195,0.14681644812136044,0.01603432848176516,relu,200,157,0.15,0.7,3,dYdix,70,0.45905262923594903,SGD,7.850648079026492e-06
137,0.39691044670017706,0.005066575281252739,tanh,200,161,0.15,0.7,6,bQi3g,70,0.5167749650293677,SGD,0.014679689056541
13,0.2877885234773726,0.02942837701757406,elu,200,199,0.15,0.7,5,sxXYI,50,0.5287856018204268,adam,0.0488549934497658
77,0.30323883743170454,0.029392738539251593,elu,200,198,0.15,0.7,2,qt7Hd,5,0.47041615808362397,adam,1.2240002178007357e-06
35,0.02667298697991452,0.02907889820379695,elu,200,179,0.15,0.7,5,ZELUK,30,0.5642600841576254,adam,0.001249214099050947
86,0.2546518047456222,0.017989801317771788,relu,200,185,0.15,0.7,5,mZpx8,50,0.5495781372409116,adam,0.0454462582388249
27,0.309682309353824,0.021667074021920037,elu,200,172,0.15,0.7,6,kURD2,5,0.5621046932642833,adam,0.0012165120765597769
65,0.22259806536825932,0.0854720379678317,elu,200,97,0.15,0.7,2,phveb,5,0.5112838174736931,adam,0.0001742769680799303
96,0.35662057778503403,0.036403907288512075,relu,200,139,0.15,0.7,4,WgErF,50,0.49335116258861633,adam,1.9317233447614882e-05
116,0.2926026089049175,0.010473768579008062,elu,200,193,0.15,0.7,7,xhkzU,10,0.49084062990838423,adam,1.411764917025383e-06
50,0.18632450263311517,0.025149969224302224,relu,200,166,0.15,0.7,3,ajahk,30,0.5189543180306585,adam,0.00035802147930984424
23,0.2249874109873437,0.0009821342756088716,relu,200,85,0.15,0.7,10,ZvSAx,50,0.4933972923128205,adam,4.4139339361424974e-05
120,0.04704458810728182,0.06245359350975477,elu,200,138,0.15,0.7,5,OoGN4,5,0.5701858867358628,adam,0.002317838714062276
79,0.3240898054562145,0.03667538666415805,relu,200,182,0.15,0.7,8,dhjzE,10,0.5274081653835448,adam,0.06900692220750047
68,0.2741507139096814,0.011533393730466718,relu,200,151,0.15,0.7,7,yygjf,5,0.5609705123379138,adam,0.0001895748837844677
103,0.2263757475812409,0.08269551787614418,elu,200,110,0.15,0.7,6,uxGLD,50,0.5738441467285187,adam,0.018365637129060957
51,0.3192652512730814,0.033330999181685445,elu,200,52,0.15,0.7,8,HXrJ9,5,0.5803627425536465,adam,2.6269228773865268e-05
95,0.16871061668056014,0.05261820743824623,relu,200,132,0.15,0.7,8,CqFSw,50,0.5500919350584964,adam,0.00010219180665230761
138,0.0731048107233058,0.010187671950739701,elu,200,123,0.15,0.7,4,WQnTi,5,0.5150487214414771,adam,0.11988846627593365
38,0.3605016493870733,0.0455412902249122,tanh,200,14,0.15,0.7,10,jSwOa,10,0.5265900657692386,adam,4.308581259849302e-06
115,0.27621658899455337,3.845095956564459e-06,relu,200,172,0.15,0.7,9,XMljY,30,0.5257406250678778,SGD,0.003456197793298021
74,0.20426102416332878,0.024023650542803924,relu,200,69,0.15,0.7,7,dyFMe,50,0.5836196145105659,adam,0.008432892008296108
57,0.24147072266983752,0.06028757982044007,elu,200,190,0.15,0.7,2,Y9Buf,5,0.4772795188644922,SGD,0.00042220810862407006
150,0.336684947390638,0.05466745985152818,tanh,200,143,0.15,0.7,6,qpv7J,50,0.4945601445816282,adam,2.790869690596522e-06
186,0.27128371202118445,0.03905174423343238,relu,200,119,0.15,0.7,5,U0BVe,100,0.5785201212303657,adam,0.0018546227086723055
22,0.09889117575993522,0.02078879501421547,elu,200,29,0.15,0.7,9,QzkRv,10,0.44511199053102646,SGD,5.8859175168538285e-05
161,0.16957373211528537,0.08655613427076332,tanh,200,96,0.15,0.7,3,z310j,30,0.5492723454798331,adam,0.005971824621439746
137,0.37441536613833526,0.013722351773066483,relu,200,80,0.15,0.7,8,aNZQf,100,0.5727128786864636,adam,0.020271608247457946
46,0.20907621621967065,0.06417802838953232,elu,200,131,0.15,0.7,4,dp3RL,5,0.4429514157713398,SGD,0.00010481748104799495
107,0.23882806613610352,0.04485701119060345,tanh,200,108,0.15,0.7,7,q7Kue,50,0.5561575127595468,adam,0.0003023427320476485
130,0.33037983396445597,0.008026146472479213,relu,200,39,0.15,0.7,9,HJjHp,70,0.4856305932628285,SGD,0.0006469849094869154
11,0.1250040872616912,0.004508893027413682,elu,200,66,0.15,0.7,6,n8fOv,100,0.5162425111894081,adam,0.17958754433221555
87,0.34976442338924363,0.07687291598318127,relu,200,164,0.15,0.7,10,pGDOT,5,0.47180711859510127,adam,1.3971776004638418e-05
29,0.26153620046582887,0.0675889666287906,tanh,200,154,0.15,0.7,8,lVw16,50,0.6476987642593628,adam,0.00104218382374822
18,0.29923437114754825,0.06821849952455741,tanh,200,175,0.15,0.7,8,pLiME,70,0.4390974062225488,SGD,0.0010366008766149065
32,0.3723901997364567,0.09326415962820735,tanh,200,153,0.15,0.7,8,hhpAe,50,0.5947938184075998,adam,0.010294477659005184
