epochs,learning_rate,trialJobId,dropout,batch_size,optimizer,train_frac,preweight,activation,intermediate,layer_1,reward,layer_2,test_frac,regularization
200,0.0013828482493152268,d0XdG,0.062348960048962225,30,SGD,0.7,8,relu,"[0.5131410256410256,0.5236097952417496]",24,0.5236097952417496,57,0.15,0.028517194962210737
200,0.07974864376972936,WuaMQ,0.3488549068976569,30,SGD,0.7,7,tanh,"[0.5290064102564103,0.7213426426187431]",182,0.7213426426187431,83,0.15,0.042732000794831075
200,0.008225512396389844,QEujC,0.12021840788843888,50,SGD,0.7,7,relu,"[0.4509615384615384,0.54934104957926]",46,0.54934104957926,126,0.15,0.01945299335768771
200,2.324194926274799e-05,ti4d9,0.32280932607556695,70,adam,0.7,6,tanh,"[0.447275641025641,0.5430970536882055]",134,0.5430970536882055,44,0.15,0.01851289743231286
200,2.4529647006233138e-05,sjQTj,0.22528978194305413,100,adam,0.7,4,elu,"[0.4637820512820513,0.49462459015735816]",32,0.49462459015735816,29,0.15,0.024059647158152977
200,0.06115263935168354,i6Pzx,0.28149481959825745,10,adam,0.7,9,relu,"[0.5,0.5525516605495537]",70,0.5525516605495537,113,0.15,0.06851469348563206
200,7.405015581204216e-06,DpzT3,0.27108586980162885,50,adam,0.7,10,tanh,"[0.4738782051282051,0.4586540612943605]",57,0.4586540612943605,53,0.15,0.030846628219699412
200,0.11610450576675192,h0u4y,0.269851232997015,30,SGD,0.7,3,relu,"[0.5028846153846154,0.6591565391520426]",49,0.6591565391520426,88,0.15,0.03921335636141985
200,3.982503221334796e-05,RaGph,0.34011446589639793,10,adam,0.7,3,relu,"[0.4490384615384615,0.5451498465485032]",168,0.5451498465485032,67,0.15,0.09855562009757314
200,0.3626751532566733,nfKOm,0.011047323269667376,10,SGD,0.7,2,elu,"[0.5052884615384615,0.7188644695362265]",23,0.7188644695362265,113,0.15,0.015055230197877712
200,0.0006588688762491862,ADf8h,0.16266852008761884,30,adam,0.7,3,tanh,"[0.4897435897435898,0.6348022432480637]",172,0.6348022432480637,44,0.15,0.09052057895798477
200,9.934037843133194e-06,awUZm,0.3366459238506634,50,adam,0.7,3,elu,"[0.48573717948717954,0.501404950497359]",165,0.501404950497359,104,0.15,0.0528737157937868
200,4.73921823579151e-05,HN0aN,0.34824833260128063,10,adam,0.7,6,elu,"[0.48445512820512826,0.6259225077656791]",49,0.6259225077656791,186,0.15,0.05237875229142182
200,1.1792584150676937e-06,eN1gx,0.13610289942672024,10,SGD,0.7,5,elu,"[0.4653846153846154,0.47845018467107747]",34,0.47845018467107747,86,0.15,0.005310111714862887
200,0.48450726230838836,M59if,0.3598868742402599,5,SGD,0.7,4,relu,"[0.4996794871794871,0.6654720828740929]",32,0.6654720828740929,196,0.15,0.026682109407727896
200,0.00036854952750344807,EXOOX,0.2954643167444587,30,adam,0.7,10,elu,"[0.5264423076923077,0.6707445705127688]",34,0.6707445705127688,103,0.15,0.04642485795274949
200,0.00034207907296719453,TxhfE,0.14481965709683994,50,adam,0.7,9,tanh,"[0.4935897435897437,0.6416083769008832]",97,0.6416083769008832,27,0.15,0.05273371615307074
200,0.04849677282921475,lbUQv,0.34868920752192234,100,adam,0.7,8,tanh,"[0.4979166666666666,0.7318491332525806]",127,0.7318491332525806,115,0.15,0.048049022019315324
200,1.953305204292891e-06,avT31,0.01861077021955011,30,SGD,0.7,7,relu,"[0.4854166666666667,0.49608437942601497]",180,0.49608437942601497,103,0.15,0.04661158393932875
200,0.029354989173064706,qsqYh,0.09619362901265127,10,SGD,0.7,5,relu,"[0.44022435897435896,0.5841796733183358]",116,0.5841796733183358,171,0.15,0.0974248209014355
200,0.013497792103214798,KD2bb,0.39045198712254675,100,SGD,0.7,8,tanh,"[0.4466346153846154,0.5114413611097175]",199,0.5114413611097175,142,0.15,0.07159526300597968
200,0.003740798086507944,L8ioI,0.39810880215290284,100,SGD,0.7,7,tanh,"[0.4600961538461538,0.5301672694068108]",143,0.5301672694068108,148,0.15,0.06621165939643475
200,0.20415585274926668,WEWrv,0.2049276030828288,70,adam,0.7,8,tanh,"[0.475801282051282,0.6454404726404429]",90,0.6454404726404429,77,0.15,0.08231915936338198
