intermediate,trialJobId,layer_2,layer_1,batch_size,learning_rate,train_frac,activation,regularization,reward,dropout,preweight,epochs,optimizer,test_frac
"[0.9321428571428572,0.9479461546154383]",ayPfI,10,45,70,6.096963841467416e-06,0.7,tanh,0.003615953758771251,0.9479461546154383,0.3762686414815147,7,200,adam,0.15
"[0.548265306122449,0.49737741069091246]",wpfCi,112,191,50,2.4855007572618e-06,0.7,tanh,0.04732158377356293,0.49737741069091246,0.3588532007246211,4,200,SGD,0.15
"[0.9351020408163266,0.9817903623798735]",RYgu7,175,61,30,0.00913102221923123,0.7,elu,0.029962454104916804,0.9817903623798735,0.07231591451231659,8,200,adam,0.15
"[0.9422448979591836,0.9680773478305518]",FkBEO,144,36,10,3.484370253105343e-05,0.7,elu,0.0974336824633748,0.9680773478305518,0.36701736097310245,9,200,adam,0.15
"[0.8821428571428571,0.9115132601876029]",gDgzJ,40,77,5,0.004682903254612605,0.7,relu,0.03676472462208096,0.9115132601876029,0.11629408357681639,4,200,SGD,0.15
"[0.8985714285714286,0.9111268462438012]",iaMUC,75,28,50,0.000837539376705413,0.7,elu,0.07621998057267766,0.9111268462438012,0.01753103490850765,5,200,SGD,0.15
"[0.6423469387755102,0.5907967488600517]",BDqQf,45,79,50,2.2324447144312717e-06,0.7,elu,0.049042038475992866,0.5907967488600517,0.15728568514570604,8,200,SGD,0.15
"[0.8563265306122447,0.8906487544240103]",qwO49,155,88,10,2.238865716086905e-06,0.7,relu,0.02135974624041235,0.8906487544240103,0.21862287213261544,9,200,adam,0.15
"[0.9461224489795917,0.9799229181401099]",yHPuv,147,133,10,0.00267703833130924,0.7,tanh,0.06138211518681474,0.9799229181401099,0.011732529746645605,3,200,adam,0.15
"[0.8983673469387755,0.9245863927098107]",hCJfk,154,91,30,0.00011949556262532783,0.7,relu,0.0004929751155874351,0.9245863927098107,0.2240599258480733,2,200,adam,0.15
"[0.4263265306122449,0.38544593681429984]",eeFPs,17,192,30,1.569984664673381e-06,0.7,elu,0.05595708472632769,0.38544593681429984,0.007145838861858867,10,200,SGD,0.15
"[0.9397959183673468,0.9688459368252719]",zYrjM,11,190,10,0.0024905698951263777,0.7,tanh,0.07730571957606075,0.9688459368252719,0.36438612133872017,8,200,SGD,0.15
"[0.6251020408163266,0.607231216765028]",Yu6En,13,109,5,1.342350373858874e-06,0.7,elu,0.01926063262737583,0.607231216765028,0.2215930988513681,8,200,SGD,0.15
"[0.9442857142857142,0.983954590496325]",MRTI5,159,78,10,0.027159785355280602,0.7,elu,0.09010433922559215,0.983954590496325,0.11079875164927713,7,200,SGD,0.15
