learning_rate,trialJobId,layer_1,epochs,reward,activation,train_frac,dropout,preweight,intermediate,layer_2,batch_size,optimizer,test_frac,regularization
0.005235124272135,Y9H5Q,115,200,0.928957091129588,elu,0.7,0.38600687764545,5,"[0.8684523809523809,0.9289570911295886]",70,10,adam,0.15,8.04019073429601E-05
0.011428957120602,hJgVm,38,200,0.920612539298393,tanh,0.7,0.362724889705517,4,"[0.8410714285714287,0.9206125392983932]",149,10,adam,0.15,4.30082285741562E-05
0.007150182646732,V9VAh,89,200,0.917519281892369,elu,0.7,0.341247783925631,5,"[0.875,0.9175192818923688]",83,30,adam,0.15,3.0895039255653E-05
0.016844798097636,gsugc,131,200,0.916431961057961,elu,0.7,0.314284439188649,6,"[0.8535714285714284,0.9164319610579608]",111,30,adam,0.15,8.71180045781689E-05
0.003496313672428,XdRVA,105,200,0.912209537486273,relu,0.7,0.356153154136562,5,"[0.8845238095238095,0.9122095374862729]",27,10,adam,0.15,2.93779975966367E-06
0.008893440512521,FSmoK,126,200,0.912011998868495,elu,0.7,0.325824714699216,6,"[0.8821428571428571,0.9120119988684948]",112,30,adam,0.15,5.0450091945863E-05
0.016229885896,bxFBT,102,200,0.90881129015181,relu,0.7,0.319009546172835,5,"[0.868452380952381,0.9088112901518096]",111,30,adam,0.15,1.3495102353267E-05
0.005290708116886,OiQyf,136,200,0.905959996132885,elu,0.7,0.368648152985258,6,"[0.880952380952381,0.9059599961328848]",89,10,adam,0.15,1.07299908920719E-05
0.010667505316264,ITGzz,110,200,0.905116860513539,relu,0.7,0.381039413587806,4,"[0.8470238095238095,0.9051168605135391]",192,10,adam,0.15,7.47496594110069E-05
0.004627149328407,c0YcE,125,200,0.90362684626837,elu,0.7,0.380300892814497,5,"[0.8482142857142858,0.9036268462683703]",76,5,adam,0.15,8.71806519227769E-06
0.035597445086923,aP8ka,133,200,0.903106581384848,elu,0.7,0.346600265943021,6,"[0.8011904761904762,0.9031065813848482]",198,10,adam,0.15,4.20456817579083E-06
0.014020165385636,iZagn,153,200,0.902606965314794,elu,0.7,0.312450228130073,6,"[0.8744047619047619,0.9026069653147939]",106,50,adam,0.15,2.09213178106637E-05
0.011520132503286,KZqKm,125,200,0.900472655460838,elu,0.7,0.333885392429943,6,"[0.8845238095238095,0.900472655460838]",90,30,adam,0.15,0.000166875136506
0.004751273040725,q3VEA,113,200,0.899257974671802,relu,0.7,0.341598719607789,6,"[0.8571428571428571,0.8992579746718017]",94,10,adam,0.15,0.000125480853403
0.004911243389455,gguuU,107,200,0.89921404429966,relu,0.7,0.30222908253419,4,"[0.9232142857142855,0.8992140442996603]",33,10,adam,0.15,4.06126741003052E-05
0.010251523701812,ESTdW,130,200,0.898489989807638,elu,0.7,0.328433770900534,6,"[0.8440476190476189,0.898489989807638]",102,5,adam,0.15,0.00013151649526
0.004010432864938,gKZ21,134,200,0.897660547686752,elu,0.7,0.362201149320074,7,"[0.8523809523809524,0.8976605476867517]",122,30,adam,0.15,5.91008584621851E-05
0.017826812045594,zAdSN,110,200,0.896951981270696,relu,0.7,0.399718563550866,6,"[0.7732142857142856,0.8969519812706961]",111,10,adam,0.15,5.27830412834442E-05
0.002803727511504,wIjSJ,115,200,0.895050046989078,elu,0.7,0.378888152451449,5,"[0.818452380952381,0.8950500469890785]",35,10,adam,0.15,2.60535874658021E-06
0.010993931050597,s6BqC,99,200,0.89481600998875,elu,0.7,0.290915984208802,6,"[0.8916666666666666,0.8948160099887501]",135,30,adam,0.15,0.000304415499591
0.015535801203215,aMmZg,46,200,0.892616833428554,relu,0.7,0.285059550573792,4,"[0.8410714285714285,0.892616833428554]",80,30,adam,0.15,0.000470165393083
0.004462717888632,ptssM,130,200,0.889740789314951,elu,0.7,0.368586198682842,8,"[0.8821428571428571,0.8897407893149512]",95,30,adam,0.15,3.56820130881508E-05
0.001736123797099,Kcy9J,94,200,0.889601013022066,elu,0.7,0.383088842854342,5,"[0.7922619047619047,0.8896010130220657]",61,10,adam,0.15,9.97129183334785E-05
0.002058043054618,WnvAp,93,200,0.889225913641708,relu,0.7,0.327616244122126,5,"[0.8696428571428572,0.8892259136417078]",10,10,adam,0.15,4.93208056521819E-05
0.020645267010364,nlhiX,75,200,0.887647734807901,tanh,0.7,0.28026948490655,3,"[0.893452380952381,0.887647734807901]",128,70,adam,0.15,0.000110955606351
0.011528468573347,Qu1R7,168,200,0.887365793185872,elu,0.7,0.309400646993551,6,"[0.8273809523809523,0.8873657931858716]",131,30,adam,0.15,2.59022192138082E-05
0.00659110308827,hV1qd,123,200,0.887086784579194,relu,0.7,0.373977866433953,6,"[0.8101190476190476,0.8870867845791937]",51,10,adam,0.15,0.000196092889424
0.006107979187011,zUH73,121,200,0.886182045883165,elu,0.7,0.361562127650177,6,"[0.8833333333333332,0.8861820458831652]",111,30,adam,0.15,6.7590743128685E-05
0.0016400991436,InHEb,103,200,0.886020604453911,relu,0.7,0.355762994704247,5,"[0.8708333333333332,0.8860206044539106]",79,10,adam,0.15,0.000102402721265
0.150246299780584,lECxE,79,200,0.885634784763675,tanh,0.7,0.297906018537729,3,"[0.7553571428571428,0.8856347847636747]",131,70,adam,0.15,0.000120862905896
0.003706251327128,GWPWQ,127,200,0.884616056514771,elu,0.7,0.392741501215268,6,"[0.8369047619047618,0.8846160565147713]",77,30,adam,0.15,8.96861923697067E-05
0.010067344045758,ekeMb,66,200,0.884305692405327,elu,0.7,0.311302707498505,4,"[0.7547619047619049,0.884305692405327]",165,10,adam,0.15,0.000305401145074
0.011721328472194,HUIIS,39,200,0.884242077215307,relu,0.7,0.244825481163557,4,"[0.8642857142857142,0.8842420772153072]",114,70,adam,0.15,1.48924017378855E-05
0.002083845453676,K529h,167,200,0.879413098219767,elu,0.7,0.367451434054177,9,"[0.8244047619047621,0.8794130982197667]",101,30,adam,0.15,0.000116425562528
0.028426032080793,HVBHx,57,200,0.878554647072718,tanh,0.7,0.324763286174299,3,"[0.8029761904761903,0.8785546470727177]",137,70,adam,0.15,0.00012606472995
0.001229019321433,krn6H,35,200,0.878123916083763,relu,0.7,0.333390332305442,2,"[0.8511904761904763,0.8781239160837634]",91,10,adam,0.15,3.92083214082809E-05
0.001774238071936,q0Td5,135,200,0.877492132646423,elu,0.7,0.319915405079061,6,"[0.806547619047619,0.8774921326464232]",91,30,adam,0.15,0.000160068472101
0.001442817659618,pi93M,145,200,0.876758265198123,relu,0.7,0.344842345920742,6,"[0.856547619047619,0.876758265198123]",72,10,adam,0.15,6.70077138614432E-06
0.01936127042987,gbT8R,110,200,0.874825975249319,relu,0.7,0.352207370222954,5,"[0.8583333333333334,0.8748259752493187]",60,10,adam,0.15,7.7348146810057E-06
