trialJobId,optimizer,intermediate,learning_rate,epochs,regularization,layer_1,preweight,train_frac,activation,reward,batch_size,dropout,layer_2,test_frac
tfV4y,adam,"[0.5631578947368421,0.4949409261084477]",2.6587275358701714e-06,200,0.08278362306405482,70,59,0.7,elu,0.4949409261084477,5,0.22130348165440705,93,0.15
d51ts,SGD,"[0.6521303258145363,0.5884433587706833]",0.02663896740137946,200,0.05647845996344419,49,48,0.7,tanh,0.5884433587706833,50,0.021356517050598267,89,0.15
bRQf7,SGD,"[0.72531328320802,0.571254029629093]",0.011823338127760194,200,0.07535257332062535,134,32,0.7,elu,0.571254029629093,50,0.007933652773956856,92,0.15
of1Hi,adam,"[0.5,0.49263743791193954]",0.005004116297528717,200,0.08399017154998102,93,67,0.7,relu,0.49263743791193954,30,0.04612531121986803,140,0.15
XoE9j,SGD,"[0.6761904761904762,0.5901807323192195]",0.0027404270709858766,200,0.09780214170048324,65,19,0.7,tanh,0.5901807323192195,30,0.05424565820339238,22,0.15
xOQFQ,SGD,"[0.6927318295739349,0.5635172031622917]",0.003166239812661885,200,0.06712839172174079,170,22,0.7,tanh,0.5635172031622917,30,0.21503678949840116,41,0.15
gNDma,adam,"[0.6616541353383459,0.6329622401579191]",3.90207415235411e-05,200,0.04054841664625326,196,46,0.7,elu,0.6329622401579191,30,0.20818848640396445,150,0.15
Qk0kJ,SGD,"[0.6556390977443609,0.4999606737635897]",0.003874816680380705,200,0.008054341078785665,26,23,0.7,elu,0.4999606737635897,100,0.0600201209886337,50,0.15
nov4I,adam,"[0.6180451127819548,0.4927658605429587]",4.315101453074967e-06,200,0.035536058329512954,144,54,0.7,tanh,0.4927658605429587,50,0.2139368250722159,169,0.15
zMrg3,SGD,"[0.42606516290726815,0.3889303102050115]",1.0644485108889894e-06,200,0.07218332344231275,36,10,0.7,elu,0.3889303102050115,30,0.03375963585132498,59,0.15
PNDKU,SGD,"[0.5353383458646617,0.5397388099100364]",0.002629480274417327,200,0.0479178924022587,182,19,0.7,relu,0.5397388099100364,50,0.2583905595832258,93,0.15
yUlMC,SGD,"[0.6511278195488721,0.5420004603507131]",0.006309877914590168,200,0.015166685701442051,178,52,0.7,elu,0.5420004603507131,30,0.06950476994846753,155,0.15
ldC8E,SGD,"[0.512280701754386,0.470911342978357]",5.686082198194997e-06,200,0.036606068494907266,74,32,0.7,elu,0.470911342978357,50,0.2697578404030746,186,0.15
FFgtV,SGD,"[0.6972431077694236,0.6052192803353442]",0.018602297445622435,200,0.05992699266151407,137,64,0.7,tanh,0.6052192803353442,70,0.33355751182566756,70,0.15
fbuso,adam,"[0.5481203007518797,0.57571555128841]",0.3046904035671099,200,0.08240793605560455,79,43,0.7,elu,0.57571555128841,5,0.09127966283549505,79,0.15
CimxR,SGD,"[0.45313283208020055,0.45845342717318527]",0.0005012446576768867,200,0.03766181281109086,17,54,0.7,tanh,0.45845342717318527,70,0.13199028772401009,10,0.15
Uxdmd,adam,"[0.5468671679197995,0.6969288836624582]",0.0011435691014173625,200,0.012891164955176915,29,35,0.7,elu,0.6969288836624582,70,0.34459792461354377,16,0.15
g5Gly,adam,"[0.7112781954887218,0.6038823768256789]",1.6331297699500245e-06,200,0.0034571924683795777,156,38,0.7,elu,0.6038823768256789,10,0.2000059146108514,169,0.15
ZJsIJ,SGD,"[0.6791979949874687,0.5493372778886888]",8.220913297300346e-05,200,0.06552155850232326,71,16,0.7,elu,0.5493372778886888,5,0.0748545081583174,42,0.15
ZSjl3,adam,"[0.4205513784461153,0.6137532661058858]",0.10667055195529887,200,0.011817891665415215,120,57,0.7,elu,0.6137532661058858,5,0.1728944057140731,193,0.15
i4gXl,adam,"[0.6676691729323307,0.5890064679603901]",2.8890870087795347e-05,200,0.025078904341843865,106,33,0.7,relu,0.5890064679603901,70,0.381284474464174,123,0.15
mJPMU,adam,"[0.4862155388471178,0.6717647058823528]",0.0003131896846886196,200,0.024828620918999178,199,44,0.7,elu,0.6717647058823528,10,0.3907550479220398,115,0.15
u0MmM,adam,"[0.5448621553884712,0.708502309776452]",0.0005084839019796596,200,0.024503385630661116,50,39,0.7,relu,0.708502309776452,10,0.3857873014009699,111,0.15
uo7WV,adam,"[0.5508771929824562,0.6799543028610162]",0.00018693061817466345,200,0.02072139149033448,42,39,0.7,relu,0.6799543028610162,10,0.3395612962234662,126,0.15
PKSfv,adam,"[0.5468671679197995,0.676156862663883]",0.0010293747462976253,200,0.000328302371863173,15,26,0.7,relu,0.676156862663883,100,0.3465437136770397,110,0.15
j3erk,adam,"[0.5283208020050126,0.6953230095990423]",0.001081317562395998,200,0.02642559331370186,53,35,0.7,relu,0.6953230095990423,10,0.29587951907362076,13,0.15
R5zZy,adam,"[0.6556390977443609,0.5384149130748396]",0.00010470766232492715,200,0.017291825587902772,11,29,0.7,relu,0.5384149130748396,70,0.39932503592366625,27,0.15
gOS3z,adam,"[0.6466165413533835,0.614743870304532]",1.3301827246473444e-05,200,0.04779253909417979,90,10,0.7,relu,0.614743870304532,10,0.36728759551074064,136,0.15
OImcn,adam,"[0.49373433583959897,0.6932572279521395]",0.04580225914425985,200,0.0313907395627813,31,40,0.7,relu,0.6932572279521395,70,0.2955029271696763,70,0.15
b8qmC,adam,"[0.5253132832080201,0.6922141562323476]",0.0009374901794130957,200,0.009819987803016381,47,50,0.7,relu,0.6922141562323476,100,0.2477740080455909,103,0.15
ZPppU,adam,"[0.6248120300751879,0.556884104142864]",0.00021868279273014375,200,0.00027663074139257227,62,26,0.7,relu,0.556884104142864,70,0.30510188190779164,83,0.15
cCfaS,adam,"[0.49749373433583954,0.5805485799166415]",0.18020627324716107,200,0.04438559814257959,56,61,0.7,elu,0.5805485799166415,10,0.36585070747352094,99,0.15
Rc57j,adam,"[0.5,0.5717590410739266]",0.06291579473094312,200,0.053854964528986055,26,42,0.7,relu,0.5717590410739266,10,0.1615449817150036,62,0.15
c2WA1,adam,"[0.6601503759398496,0.625182718793414]",6.344547969184359e-05,200,0.030440640131728907,105,47,0.7,tanh,0.625182718793414,70,0.3148040426743885,132,0.15
bwo0t,adam,"[0.5122807017543859,0.7039567452103032]",0.00705189246262664,200,0.019770793386325557,88,70,0.7,elu,0.7039567452103032,10,0.24162295210100498,36,0.15
cRv9R,adam,"[0.5,0.5026243081094071]",0.008611445962696768,200,0.09877415280134348,118,70,0.7,relu,0.5026243081094071,10,0.11264185354384748,34,0.15
MZzOd,adam,"[0.5829573934837093,0.6876809314914463]",0.02368773500999339,200,0.0054980818645761625,87,59,0.7,tanh,0.6876809314914463,10,0.17648820077802518,119,0.15
KGwwR,adam,"[0.4957393483709274,0.7391753001863973]",0.0019928112826949314,200,0.019329876760291936,98,69,0.7,elu,0.7391753001863973,10,0.00011923890197518272,146,0.15
cON9a,adam,"[0.543609022556391,0.6466470661483394]",0.0019293582339950594,200,0.04307711905823095,113,67,0.7,relu,0.6466470661483394,10,0.012411938138243872,151,0.15
eZnfY,adam,"[0.53734335839599,0.6756281353055547]",0.00042795158496059687,200,0.029591204829188436,100,50,0.7,elu,0.6756281353055547,100,0.0016005779592861147,166,0.15
HNQUz,adam,"[0.6736842105263159,0.6111060476664829]",1.4412798740878267e-05,200,0.05339024355123857,130,63,0.7,tanh,0.6111060476664829,50,0.14079159185654064,183,0.15
EMXNy,adam,"[0.5423558897243108,0.7171842507524531]",0.0018692195273166364,200,0.020909762173007298,152,14,0.7,elu,0.7171842507524531,10,0.03923720910269235,144,0.15
mlGTD,SGD,"[0.5578947368421053,0.6769263596861381]",0.018947050307535386,200,0.0340750132991955,157,14,0.7,elu,0.6769263596861381,30,0.03666222694266448,178,0.15
PyBfa,adam,"[0.5578947368421053,0.6805039965437563]",0.001879009772040493,200,0.0073815551642475025,150,13,0.7,elu,0.6805039965437563,5,0.02574187556655943,199,0.15
wD6cB,SGD,"[0.7213032581453634,0.6269720586217806]",0.01167525082773518,200,0.08915062371497942,171,25,0.7,elu,0.6269720586217806,50,0.08995172849354,144,0.15
UU1Qo,adam,"[0.5057644110275689,0.6602845680297982]",0.0042698993156393885,200,0.058812622216194314,188,21,0.7,elu,0.6602845680297982,30,0.05102269207746329,164,0.15
pYQk4,SGD,"[0.536842105263158,0.6720886086125155]",0.04083384590519761,200,0.04079547522986113,164,30,0.7,elu,0.6720886086125155,10,0.002864048067432512,157,0.15
LIXtA,adam,"[0.49147869674185474,0.5563330038397281]",0.4503226263630439,200,0.06399912839899477,131,18,0.7,elu,0.5563330038397281,100,0.11268172337808274,144,0.15
RLd2M,adam,"[0.5348370927318296,0.6633797225261597]",0.00011946487472803194,200,0.0761608307872918,140,10,0.7,elu,0.6633797225261597,5,0.08245724403491977,175,0.15
bXZqc,SGD,"[0.550125313283208,0.4621597025899731]",4.245951604185277e-05,200,0.01636839433208552,126,66,0.7,elu,0.4621597025899731,10,0.1096949252636557,132,0.15
NfOp7,adam,"[0.6115288220551378,0.6872741809274316]",0.0018396820963716243,200,0.0025649321333085784,147,57,0.7,tanh,0.6872741809274316,50,0.06553463306072688,159,0.15
Vr2jd,SGD,"[0.6521303258145363,0.5499295386005534]",0.0035874684171215334,200,0.038127606480157554,78,13,0.7,elu,0.5499295386005534,30,0.0194474582304239,188,0.15
tpNpU,adam,"[0.5092731829573935,0.6003194314218022]",0.14595445564589082,200,0.01974441407226803,99,54,0.7,elu,0.6003194314218022,10,0.1406394488231677,198,0.15
