intermediate,reward,epochs,dropout,layer_1,layer_2,regularization,activation,train_frac,test_frac,learning_rate,batch_size,preweight,optimizer,trialJobId
"[0.5744360902255637,0.6815092018487463]",0.6815092018487463,200,0.20544179812326188,172,32,0.0367843152311435,relu,0.7,0.15,0.00016086441869204258,30,27,adam,hQPEA
"[0.6160401002506266,0.6137878871311693]",0.6137878871311693,200,0.34167506138850134,83,74,0.0971158850545915,tanh,0.7,0.15,0.016436876453651997,30,23,SGD,MOp6p
"[0.5177944862155389,0.6971522243261374]",0.6971522243261374,200,0.310687573080579,131,164,0.031064744494646603,relu,0.7,0.15,0.008717703725892001,70,25,adam,Nt8Ou
"[0.5210526315789473,0.5556686542412412]",0.5556686542412412,200,0.1366202049665342,125,105,0.05219002677526461,relu,0.7,0.15,0.06123641000832856,70,33,adam,z76kM
"[0.5769423558897243,0.4687699199559618]",0.4687699199559618,200,0.21215682086597687,92,157,0.08054073423932376,tanh,0.7,0.15,1.0341034677433429e-05,50,57,adam,jJzCX
"[0.5112781954887218,0.6941585675072759]",0.6941585675072759,200,0.245635778019863,172,23,0.01838775522467545,elu,0.7,0.15,0.0006522221690882652,50,50,adam,SCJQ5
"[0.6290726817042607,0.6080941888452223]",0.6080941888452223,200,0.29098426154257323,176,67,0.0386483223490688,relu,0.7,0.15,0.013187201144170586,30,32,SGD,f5Opu
"[0.563408521303258,0.7082738929906899]",0.7082738929906899,200,0.39440819612920086,84,91,0.08477848486170261,relu,0.7,0.15,0.00030087262092077155,50,56,adam,Iz0Yh
"[0.6045112781954888,0.6542498879505281]",0.6542498879505281,200,0.2914795984209068,156,17,0.006216200941862694,elu,0.7,0.15,7.560245017191836e-05,70,29,adam,ElmtY
"[0.5844611528822055,0.5372238262782392]",0.5372238262782392,200,0.3130569422035131,77,84,0.08705179983020254,elu,0.7,0.15,3.122549441260771e-05,5,19,SGD,pFm3o
"[0.6426065162907268,0.46106487063177004]",0.46106487063177004,200,0.2543436235273235,72,111,0.03478750907541337,relu,0.7,0.15,0.0002121249256223737,100,11,SGD,aDbNP
"[0.5318295739348371,0.5898280345796699]",0.5898280345796699,200,0.286359990338024,141,84,0.04039782069385653,relu,0.7,0.15,1.921777744996948e-05,50,45,adam,aupGq
"[0.5203007518796993,0.43280756212741506]",0.43280756212741506,200,0.2895941452959241,136,125,0.09144913904108554,elu,0.7,0.15,0.0005672549360428294,50,26,SGD,xzxzM
"[0.5573934837092732,0.6295871265172737]",0.6295871265172737,200,0.1587207632330194,138,72,0.04893456265889878,relu,0.7,0.15,0.0003368027709662894,50,47,adam,sNeks
"[0.718796992481203,0.5035558945868537]",0.5035558945868537,200,0.2523015580436913,158,158,0.05000743396164329,elu,0.7,0.15,2.511342363675521e-05,70,64,adam,Uhqv1
"[0.525062656641604,0.5898325893235503]",0.5898325893235503,200,0.2381837330616608,58,72,0.062362084450912125,tanh,0.7,0.15,0.03331908478196354,70,14,adam,l3FqQ
"[0.48571428571428577,0.5234519790580462]",0.5234519790580462,200,0.1155712512570129,74,36,0.004821802050445612,tanh,0.7,0.15,0.4874794169425639,50,60,adam,B11VZ
"[0.5959899749373434,0.5511139040171298]",0.5511139040171298,200,0.3754160228415556,198,107,0.025491133110621268,elu,0.7,0.15,4.056529632106993e-06,70,58,adam,pV4zS
"[0.5649122807017544,0.6186270063369833]",0.6186270063369833,200,0.35260988083787426,168,170,0.04930328763186596,tanh,0.7,0.15,0.008540457931278575,50,31,SGD,YqGaX
"[0.6005012531328321,0.6258422679416593]",0.6258422679416593,200,0.20869221618696568,12,43,0.048170079540314284,relu,0.7,0.15,0.06576854548495051,70,70,SGD,jTl91
"[0.5,0.5896261595418812]",0.5896261595418812,200,0.055243325909043794,42,185,0.07206771316696302,relu,0.7,0.15,0.0025229957015400093,10,39,adam,M9Zpr
"[0.5283208020050126,0.6722250921056068]",0.6722250921056068,200,0.3958825068031921,99,135,0.021216780634989857,relu,0.7,0.15,0.003799445607719901,100,40,adam,YbJxQ
"[0.523809523809524,0.45813389358482437]",0.45813389358482437,200,0.39633995470974204,114,199,0.06753464871078081,relu,0.7,0.15,1.1757239412246928e-06,10,52,adam,pxwvH
"[0.5483709273182957,0.5372074342082068]",0.5372074342082068,200,0.34074449447664873,32,132,0.010753235820094478,relu,0.7,0.15,0.2884199949596971,5,69,adam,CivGM
"[0.5,0.669572248292282]",0.669572248292282,200,0.3700144362058448,107,50,0.0609381028427515,relu,0.7,0.15,0.0016071098809636959,10,38,adam,c1Sip
"[0.5080200501253133,0.5862330178490567]",0.5862330178490567,200,0.3976095689279692,198,150,0.026584375804724062,relu,0.7,0.15,0.18334247665484715,5,18,adam,cv7Il
"[0.512531328320802,0.5864636860176967]",0.5864636860176967,200,0.032955627803456566,48,190,0.08303350643112849,relu,0.7,0.15,0.00493066592888236,100,65,adam,DYmDE
"[0.5664160401002507,0.6408403638952207]",0.6408403638952207,200,0.32335825699238646,120,91,0.09953654875071236,relu,0.7,0.15,8.888391174503626e-05,70,54,adam,vlIEJ
"[0.5,0.6016245284904884]",0.6016245284904884,200,0.36769938558844295,20,116,0.07503786924683739,relu,0.7,0.15,0.0015304013557828698,10,44,adam,izLpg
"[0.5844611528822055,0.6556304694409534]",0.6556304694409534,200,0.15746779771687347,93,175,0.03221881202847415,relu,0.7,0.15,0.00010061630915089709,30,25,adam,ubk7M
"[0.49323308270676697,0.6852028490028385]",0.6852028490028385,200,0.31469338316623907,60,57,0.014183709623838036,tanh,0.7,0.15,0.0010273134638194034,30,21,adam,PrrHs
"[0.4674185463659148,0.5892278999930303]",0.5892278999930303,200,0.1862407755098402,128,141,0.060536176161189434,relu,0.7,0.15,0.03309323229718793,70,35,adam,VJIXZ
"[0.5253132832080201,0.4985877813856973]",0.4985877813856973,200,0.08840740995774438,87,94,0.0945990668763468,relu,0.7,0.15,3.4168358950263935e-06,50,15,SGD,Wvh69
"[0.523809523809524,0.5525371153698877]",0.5525371153698877,200,0.33594518511510557,152,98,0.0440832127812332,tanh,0.7,0.15,0.10723267633447259,5,49,adam,vcpsa
"[0.5205513784461153,0.6261642250963719]",0.6261642250963719,200,0.26795191641743027,106,125,0.056860731523000294,relu,0.7,0.15,0.007166221790572015,100,36,adam,AAiqE
"[0.506516290726817,0.7254341736694678]",0.7254341736694678,200,0.19063695593443392,65,59,0.0012008877013126099,relu,0.7,0.15,0.020415809257457226,30,43,adam,PmZ8r
"[0.6305764411027569,0.5470833333333334]",0.5470833333333334,200,0.18942073473822252,59,26,0.07858522369079199,relu,0.7,0.15,0.019501180548915795,30,42,SGD,YuPvl
"[0.6140350877192983,0.6679779411764706]",0.6679779411764706,200,0.09531321000788803,38,11,0.06869186922477996,elu,0.7,0.15,0.0003074983845667503,30,55,adam,LByiO
"[0.5363408521303258,0.6835510711027298]",0.6835510711027298,200,0.0060395213849163965,65,54,0.0007428070096747867,tanh,0.7,0.15,4.589528801900975e-05,30,62,adam,pSLPc
"[0.4837092731829574,0.413101965158787]",0.413101965158787,200,0.17010660120570453,21,61,0.08712167863477206,relu,0.7,0.15,9.49701774769684e-06,30,66,SGD,PORkf
"[0.524310776942356,0.6231066147474816]",0.6231066147474816,200,0.23861836130191616,49,84,0.055282501196529665,elu,0.7,0.15,0.000598485603496408,50,49,adam,a3HlH
"[0.6225563909774436,0.6472177421745171]",0.6472177421745171,200,0.22193518760717426,88,42,0.041990416858102224,relu,0.7,0.15,0.00018464314062607354,30,58,adam,HATs0
"[0.6461152882205515,0.5834869145978201]",0.5834869145978201,200,0.13348334317892113,28,62,0.09145954334752955,relu,0.7,0.15,0.012836042531326508,50,52,SGD,GlUtq
"[0.5,0.6555688493251912]",0.6555688493251912,200,0.07281079595415174,67,29,0.09939821974400821,elu,0.7,0.15,0.002648315527443026,30,29,adam,LqdoK
"[0.543859649122807,0.5880155352165684]",0.5880155352165684,200,0.12805606200937192,118,78,0.03547755478989039,tanh,0.7,0.15,4.838291928767577e-05,50,44,adam,Dk9Rt
"[0.5,0.48937439895960433]",0.48937439895960433,200,0.27087731022224776,81,18,0.08509001536934155,relu,0.7,0.15,0.038323764177389655,5,46,adam,JxOwW
"[0.43007518796992483,0.4321353484860169]",0.4321353484860169,200,0.21879935520520152,50,118,0.002200728181428538,elu,0.7,0.15,1.5307136256188523e-05,100,42,SGD,EUPHw
"[0.47468671679198,0.7512217527920835]",0.7512217527920835,200,0.15820264403117515,95,100,0.012194609146486741,relu,0.7,0.15,0.0003582778619500932,50,67,adam,GjVil
"[0.5333333333333334,0.6862678348581885]",0.6862678348581885,200,0.16249033599491605,147,100,0.01039859895209585,relu,0.7,0.15,0.09614282598739711,50,61,adam,dwmU9
"[0.48471177944862154,0.7293762671331727]",0.7293762671331727,200,0.10698148628176371,79,68,0.017800133601549768,tanh,0.7,0.15,0.0009647334193270755,30,70,adam,R61ud
"[0.6115288220551378,0.610356486274872]",0.610356486274872,200,0.012028934047242826,185,68,0.01763951200949819,tanh,0.7,0.15,0.0008889279709123167,10,68,SGD,GoHhl
"[0.5318295739348371,0.7558554723570203]",0.7558554723570203,200,0.11255119284720422,78,81,0.0259948327983143,tanh,0.7,0.15,0.00040891604411438326,50,67,adam,OecTL
"[0.5764411027568922,0.6905794971497371]",0.6905794971497371,200,0.05312443932136543,100,108,0.02730371657151519,tanh,0.7,0.15,0.0001324578410937688,50,63,adam,MynPm
"[0.6,0.47112783301598543]",0.47112783301598543,200,0.1471589432276858,111,79,0.020848437735502257,tanh,0.7,0.15,1.5666779255337932e-06,50,67,adam,Qc8D3
"[0.5819548872180451,0.5464247557997558]",0.5464247557997558,200,0.031060378258434773,96,143,0.00869571900000043,tanh,0.7,0.15,0.0005102625570480583,50,59,SGD,KWkJw
"[0.6486215538847119,0.6051530800586628]",0.6051530800586628,200,0.07297924367294736,134,159,0.030756028834690242,tanh,0.7,0.15,7.714477636894775e-06,50,53,adam,lSMr9
"[0.5523809523809524,0.6814444224506144]",0.6814444224506144,200,0.11969725894728704,166,47,0.013628080624028129,tanh,0.7,0.15,4.15186296372458e-05,50,56,adam,a5OEX
"[0.48020050125313285,0.7009679667561323]",0.7009679667561323,200,0.1458546795277481,127,123,0.023514253585685846,tanh,0.7,0.15,0.00037539111589673317,50,64,adam,lcKYW
"[0.44862155388471175,0.5011321715222825]",0.5011321715222825,200,0.1004159730660932,144,38,0.03897718220186003,elu,0.7,0.15,0.00017312109770303553,100,60,SGD,Ttney
"[0.49974937343358394,0.6812086596002038]",0.6812086596002038,200,0.1756886708981772,74,132,0.006230922213289166,tanh,0.7,0.15,6.643221567242239e-05,5,50,adam,bHh9h
"[0.5684210526315789,0.6481259937616674]",0.6481259937616674,200,0.0783059170621335,185,90,0.04490040913971707,tanh,0.7,0.15,1.672476994543514e-05,50,70,adam,cY6kG
"[0.5664160401002507,0.6175074666222711]",0.6175074666222711,200,0.05462765724213221,120,101,0.03203175014839857,elu,0.7,0.15,4.953756540395278e-06,10,11,adam,MTH5Z
"[0.4631578947368421,0.7087197212389602]",0.7087197212389602,200,0.2020224147351678,100,112,0.016141924991891966,tanh,0.7,0.15,0.004774017389417653,70,66,adam,ozdHJ
"[0.5513784461152882,0.526509401659981]",0.526509401659981,200,0.03649487907247839,10,166,0.02159685235098302,tanh,0.7,0.15,0.002364051223759126,50,47,SGD,i8IJn
"[0.6456140350877193,0.5276573131248986]",0.5276573131248986,200,0.1101500668258982,53,77,0.029425419308386457,elu,0.7,0.15,2.1976059527491747e-06,50,23,adam,yKJHf
"[0.5203007518796993,0.6567214688905866]",0.6567214688905866,200,0.12051190147733287,83,67,0.006223649636712524,tanh,0.7,0.15,0.0013850075658060177,30,70,adam,dCaXN
"[0.49223057644110274,0.7356897135560401]",0.7356897135560401,200,0.146561307465325,92,86,0.012520902725384378,tanh,0.7,0.15,0.0002618134619338627,30,68,adam,D9V47
"[0.5027568922305765,0.7145706856460533]",0.7145706856460533,200,0.1485151220084968,71,90,0.02377278419351084,tanh,0.7,0.15,2.5253202643542148e-05,5,68,adam,BdOrH
"[0.5032581453634085,0.6804982452751215]",0.6804982452751215,200,0.2265256886007079,90,115,0.012970671350965498,tanh,0.7,0.15,0.0004702334645253681,100,63,adam,EjgDk
"[0.5583959899749373,0.7073565876397907]",0.7073565876397907,200,0.17843527175842114,110,104,0.0033534445602196473,tanh,0.7,0.15,0.00025012490087808833,10,57,adam,TCrkK
"[0.47518796992481205,0.6933321661998132]",0.6933321661998132,200,0.08746438673737505,105,85,0.03436498302322347,tanh,0.7,0.15,0.00011636103839332864,70,65,adam,huKAz
"[0.543859649122807,0.7087189706611812]",0.7087189706611812,200,0.1993845964241187,115,150,0.009506023304021005,tanh,0.7,0.15,0.0007492352124600342,30,61,adam,ipdsr
"[0.6145363408521304,0.647498976737019]",0.647498976737019,200,0.06379516928066684,42,96,0.03764089237126222,tanh,0.7,0.15,6.124444884240623e-05,50,68,adam,tlH7L
"[0.5563909774436091,0.7263771578573001]",0.7263771578573001,200,0.13702853473992047,95,53,8.732550514823495e-05,tanh,0.7,0.15,0.0034973444992084557,30,55,adam,CTj3B
"[0.47468671679198,0.7146922077177511]",0.7146922077177511,200,0.16300953135592489,68,129,0.028193975414238088,relu,0.7,0.15,0.0018770491114546177,50,59,adam,qWY6p
"[0.4884711779448622,0.7784895170189288]",0.7784895170189288,200,0.017905082302468234,57,72,0.015191482229356613,tanh,0.7,0.15,0.006715774154243833,5,66,adam,IhsnO
"[0.5,0.536210684523047]",0.536210684523047,200,0.020646190751199577,34,74,0.05227227374230643,relu,0.7,0.15,0.0066178072365639835,5,51,adam,kr8Dm
"[0.5416040100250628,0.5977481335003504]",0.5977481335003504,200,0.08585458228979492,54,46,0.020176755891512244,tanh,0.7,0.15,0.29240240964843034,5,62,adam,czncc
"[0.5,0.5718855697404972]",0.5718855697404972,200,0.042841643451877263,24,33,0.04590645883624202,relu,0.7,0.15,0.012752006390333118,5,65,adam,QC0Wv
"[0.4741854636591478,0.6930547707588782]",0.6930547707588782,200,0.0008671040690279158,63,82,0.024919553906153892,elu,0.7,0.15,0.02755533052750358,5,57,SGD,xpRan
"[0.5,0.6339368414373634]",0.6339368414373634,200,0.022558241365856976,56,121,0.0416339817583002,relu,0.7,0.15,0.0038920030408666575,5,33,adam,ItW1i
"[0.5192982456140351,0.6682879409354836]",0.6682879409354836,200,0.2512872526895468,77,11,0.007288753962762223,tanh,0.7,0.15,0.0011389641967687381,5,54,adam,CJ1Ge
"[0.48270676691729325,0.7446861052571193]",0.7446861052571193,200,0.233853133726098,45,63,0.03426478522683461,tanh,0.7,0.15,0.047884692656181733,100,63,adam,Knrwv
"[0.5837092731829575,0.5258365055030667]",0.5258365055030667,200,0.0625930824036326,14,141,0.015656211239343368,relu,0.7,0.15,0.007589200078322645,70,48,SGD,DdioE
"[0.49724310776942354,0.6625011163885844]",0.6625011163885844,200,0.09956199337669737,85,106,0.017863910725498776,elu,0.7,0.15,0.009743941121109214,50,37,adam,siDWv
"[0.5248120300751881,0.685261236760288]",0.685261236760288,200,0.264136303897572,38,20,0.0036399247887054023,tanh,0.7,0.15,0.00036622804974811076,10,66,adam,WQ9tr
"[0.5448621553884713,0.6598693018468917]",0.6598693018468917,200,0.04551853805307838,72,93,0.06542278228808922,relu,0.7,0.15,3.319948014979774e-05,5,40,adam,jhv0N
"[0.4776942355889725,0.7233875303648903]",0.7233875303648903,200,0.13051845724762196,60,72,0.053133259957920204,tanh,0.7,0.15,0.0022296063994494955,50,59,adam,czuH3
"[0.4681704260651629,0.40500831989897934]",0.40500831989897934,200,0.013083886333987996,133,112,0.022363402410763025,relu,0.7,0.15,0.0001454610255730272,50,28,SGD,sq3UE
"[0.4967418546365915,0.6958633385877968]",0.6958633385877968,200,0.2139701821927313,29,55,0.01967971073630326,tanh,0.7,0.15,8.828968739572118e-05,5,61,adam,nARLA
"[0.49624060150375937,0.6756103714329245]",0.6756103714329245,200,0.0005676677145007858,125,100,0.02595801160522844,elu,0.7,0.15,0.11415529740676321,100,69,adam,SUw7i
"[0.47518796992481205,0.6797225010112007]",0.6797225010112007,200,0.3018751025578893,100,65,0.011583501429066827,relu,0.7,0.15,0.02148025009869085,70,14,adam,CILUn
"[0.4651629072681704,0.748041500918798]",0.748041500918798,200,0.11026704041052664,138,39,0.04692458975572141,tanh,0.7,0.15,0.4662438758522672,50,52,SGD,mYPWL
"[0.5,0.6036766854267591]",0.6036766854267591,200,0.1557031024346349,78,25,0.015939457590913697,relu,0.7,0.15,0.0708340536165383,10,17,adam,EkzI4
"[0.5964912280701754,0.6265872679199885]",0.6265872679199885,200,0.19199595254932292,87,147,0.029344620307669083,tanh,0.7,0.15,1.3279238190605682e-05,50,56,adam,oUpe2
"[0.518796992481203,0.7265310951204358]",0.7265310951204358,200,0.07793937151948475,15,59,0.008638008238782517,elu,0.7,0.15,0.0013456432266550228,5,64,adam,AlGxX
"[0.5533834586466165,0.6155135759600736]",0.6155135759600736,200,0.2838561211593827,44,128,0.057356022889750176,tanh,0.7,0.15,0.00021664507392375805,50,67,adam,Ccg3Y
"[0.4631578947368421,0.4709765770212355]",0.4709765770212355,200,0.12496414127654693,37,182,0.036261816738104344,relu,0.7,0.15,0.0007087840382992444,100,34,SGD,bEHVe
"[0.5017543859649123,0.6630266465560583]",0.6630266465560583,200,0.1391016512258264,159,135,0.04306929285384051,tanh,0.7,0.15,0.002995575960189738,50,69,adam,UtioC
"[0.5348370927318296,0.7380470775028798]",0.7380470775028798,200,0.17805149133457243,62,81,0.03220901349954984,relu,0.7,0.15,0.0004398492301771683,70,45,adam,n5AHD
"[0.5518796992481203,0.705695155979582]",0.705695155979582,200,0.06738398542729754,117,50,0.0034423801232691276,tanh,0.7,0.15,0.0060778187362727845,10,54,adam,zDfpP
"[0.5050125313283209,0.766080552413273]",0.766080552413273,200,0.17008240253859694,110,88,0.014523671397806987,elu,0.7,0.15,0.009708713854342375,5,58,adam,S15E6
"[0.5102756892230577,0.6658308215745812]",0.6658308215745812,200,0.09178415290907592,122,76,0.03948772659916253,elu,0.7,0.15,0.14285047033864554,5,41,SGD,So2pW
"[0.5518796992481203,0.7274088195730999]",0.7274088195730999,200,0.20770566953445285,150,86,0.005228533025779757,elu,0.7,0.15,0.01122636579388954,5,58,adam,fTJbK
"[0.47293233082706765,0.7363720764142667]",0.7363720764142667,200,0.16946717832345992,109,34,0.014893179288917554,elu,0.7,0.15,0.016206186272156232,5,31,adam,S4b5Y
"[0.5,0.5771445050098173]",0.5771445050098173,200,0.02781263612723843,102,71,0.0238131505975044,elu,0.7,0.15,0.05372543113997731,5,49,adam,tTq4T
"[0.5,0.5542476773345373]",0.5542476773345373,200,0.24183311253394052,129,30,0.07305196576187784,elu,0.7,0.15,0.025893171640457464,5,60,adam,IGoxm
"[0.44761904761904764,0.549333416181107]",0.549333416181107,200,0.23088384068761453,113,42,0.05015837784543827,elu,0.7,0.15,0.2696950982825168,5,53,adam,hQZD6
"[0.49824561403508777,0.7268089086247654]",0.7268089086247654,200,0.10436914313828964,68,119,0.0005013815314976709,elu,0.7,0.15,0.005290553078385381,5,51,SGD,KGKEY
"[0.5,0.56055326708093]",0.56055326708093,200,0.04635857615592445,142,96,0.027995925645955298,elu,0.7,0.15,0.016039831997257555,5,62,adam,VQyXb
"[0.525062656641604,0.5845650225254857]",0.5845650225254857,200,0.2593677008700286,81,90,0.007552214720541167,elu,0.7,0.15,0.07362729959648749,5,47,adam,dktgW
"[0.4832080200501253,0.7474855578191242]",0.7474855578191242,200,0.11575380037561937,163,109,0.034278293156573776,elu,0.7,0.15,0.001753305236388332,100,64,adam,ZQflg
"[0.5508771929824562,0.722950062600798]",0.722950062600798,200,0.19586461805096253,48,49,0.01939855878244823,tanh,0.7,0.15,0.0038599506906863233,5,58,adam,HPuWu
"[0.49924812030075183,0.6288203993926554]",0.6288203993926554,200,0.08246317406329004,183,70,0.026176616554886272,elu,0.7,0.15,0.03620107841571494,70,56,SGD,Nh4Ki
"[0.5338345864661654,0.7296868901434375]",0.7296868901434375,200,0.18238289994637213,74,103,0.01753304474636237,tanh,0.7,0.15,0.009550449574337868,10,70,adam,DAbBy
"[0.3907268170426065,0.6111385865768025]",0.6111385865768025,200,0.012397106102501124,106,60,0.010954942884374255,tanh,0.7,0.15,0.04447766875393196,5,38,adam,Gt2qB
"[0.5588972431077694,0.6750933401225203]",0.6750933401225203,200,0.38463942471755636,173,13,0.03032798805994196,elu,0.7,0.15,0.001058713421926214,5,24,adam,fdFHu
"[0.5323308270676692,0.7644957983193278]",0.7644957983193278,200,0.0376365516944894,22,115,0.02140867365159064,tanh,0.7,0.15,0.0006253897801805213,100,43,adam,sR2XD
"[0.5032581453634086,0.5137880494894393]",0.5137880494894393,200,0.05565629940846951,25,165,0.05843190516546252,tanh,0.7,0.15,0.002819769804601648,100,21,SGD,z5g9C
"[0.5303258145363409,0.6510407205453644]",0.6510407205453644,200,0.3554283491315544,193,157,0.0626622839405158,elu,0.7,0.15,0.0006876206080706121,100,45,adam,VhZTh
"[0.5373433583959899,0.6805767547880209]",0.6805767547880209,200,0.2793590446579552,19,136,0.07927165241039551,tanh,0.7,0.15,0.08750898207250447,100,26,adam,Vxluy
"[0.5243107769423558,0.7251867172734467]",0.7251867172734467,200,0.03612654324469526,11,172,0.04080725977272348,tanh,0.7,0.15,0.0020711833357094124,100,42,adam,qAfbj
"[0.6897243107769424,0.6475660154547939]",0.6475660154547939,200,0.327479148304569,34,115,0.037148429006004055,elu,0.7,0.15,0.20984639893107263,100,43,adam,m0Q41
"[0.5984962406015037,0.6327648170920918]",0.6327648170920918,200,0.005552655568661663,30,126,0.002044507905652842,tanh,0.7,0.15,0.004714860136656102,100,30,SGD,ZnLKq
"[0.5293233082706766,0.6830607783877592]",0.6830607783877592,200,0.3038463004869877,41,161,0.022192627431850593,tanh,0.7,0.15,0.028329007969234855,100,35,adam,rS8pR
