test_frac,reward,layer_1,train_frac,batch_size,preweight,intermediate,activation,trialJobId,learning_rate,optimizer,epochs,layer_2,regularization,dropout
0.15,0.6188330527180023,175,0.7,10,18,"[0.674185463659148,0.6188330527180023]",tanh,uLFCv,0.003286520259841893,SGD,200,137,0.04551224344069637,0.15662645062416247
0.15,0.6253563793744628,12,0.7,50,41,"[0.6065162907268171,0.6253563793744628]",elu,pixRl,0.02786825067268411,SGD,200,59,0.00579774007327345,0.2531201497375252
0.15,0.4776201912865606,54,0.7,5,34,"[0.5075187969924813,0.4776201912865606]",relu,sLA0Z,0.00017191912533960087,SGD,200,41,0.024011263563444008,0.012696121681213547
0.15,0.5419043242296919,86,0.7,100,59,"[0.574436090225564,0.5419043242296919]",elu,JaBUs,1.1608261844691515e-05,adam,200,160,0.08675096366651641,0.021424382817731537
0.15,0.6743138981946937,153,0.7,5,47,"[0.5646616541353383,0.6743138981946937]",tanh,kdYKu,0.0449401599975931,adam,200,27,0.031797284933524995,0.16660491067778538
0.15,0.4868759482959851,189,0.7,100,48,"[0.51203007518797,0.4868759482959851]",elu,Fxuzp,1.0461352827748567e-06,SGD,200,45,0.05225578743482998,0.1096832100441561
0.15,0.6414749683188186,184,0.7,30,32,"[0.562907268170426,0.6414749683188186]",elu,GrgbF,0.07491470464182073,adam,200,69,0.07470117345341017,0.39113254886978477
0.15,0.48510853369519485,65,0.7,70,42,"[0.5418546365914787,0.48510853369519485]",elu,wvOsG,1.7235221365413562e-05,SGD,200,133,0.03415509622258763,0.019915146160397114
0.15,0.3771398046398047,94,0.7,5,63,"[0.46766917293233085,0.3771398046398047]",tanh,CssPr,1.0073235012501319e-06,SGD,200,167,0.004112763522325302,0.3379521593749892
0.15,0.5912554345234968,157,0.7,5,34,"[0.6070175438596491,0.5912554345234968]",tanh,o3Lhj,0.012964828671559297,SGD,200,152,0.023328880684791865,0.11654237036539015
0.15,0.5346019552182122,180,0.7,70,46,"[0.48872180451127817,0.5346019552182122]",tanh,Xr3Du,6.461899659339879e-06,adam,200,158,0.08725371609682657,0.06654099839823213
0.15,0.40545594756121073,107,0.7,30,57,"[0.5393483709273184,0.40545594756121073]",tanh,YezTx,1.2951876058965265e-06,SGD,200,162,0.07527640462659209,0.0004764763825316099
0.15,0.6074224896015104,93,0.7,5,20,"[0.5348370927318296,0.6074224896015104]",tanh,e38xG,0.001059083782097661,adam,200,37,0.08211142902295582,0.19323435611203965
0.15,0.6441702968812943,113,0.7,10,42,"[0.6461152882205513,0.6441702968812943]",elu,ATy0c,3.308760331336348e-05,adam,200,31,0.003074524586944816,0.15353062619463703
0.15,0.5286462530715509,151,0.7,30,52,"[0.5363408521303259,0.5286462530715509]",tanh,lfXVn,0.00023908632370911445,SGD,200,125,0.08204873579008652,0.07286753585443058
0.15,0.7587839049468805,123,0.7,30,12,"[0.5408521303258145,0.7587839049468805]",elu,VBJL5,0.007578389021952269,adam,200,100,0.010255897180555362,0.32668299122834815
0.15,0.6521388513908447,180,0.7,70,47,"[0.6275689223057644,0.6521388513908447]",tanh,kAHRo,0.08850580147084793,SGD,200,200,0.09504019473847256,0.31103425714295
0.15,0.524586360267848,113,0.7,100,64,"[0.5383458646616541,0.524586360267848]",tanh,RNipg,0.0007711026036802108,SGD,200,84,0.059848674261412584,0.17323096151237893
0.15,0.49022663061322236,100,0.7,5,30,"[0.6646616541353383,0.49022663061322236]",tanh,aqjvQ,1.0467548679640333e-05,SGD,200,35,0.04427526952043384,0.06438407399604067
0.15,0.6386091261358878,123,0.7,30,64,"[0.5,0.6386091261358878]",tanh,kNyNe,0.0041331368945011476,adam,200,77,0.08552394741228957,0.03851500348333281
0.15,0.6812418061263917,133,0.7,50,10,"[0.5012531328320803,0.6812418061263917]",relu,xQXzA,0.29080860531466207,adam,200,11,0.016509471922104772,0.23498909829595227
0.15,0.6827175105359881,137,0.7,50,11,"[0.6187969924812031,0.6827175105359881]",relu,lpoFd,0.4360909743591841,adam,200,100,0.01470765764501115,0.25316066788076086
