",",Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,,Mean+-std
val_auc,0.867953667953668,0.6984126984126985,0.609375,0.8253968253968254,0.8095238095238095,0.8214285714285714,0.7936507936507937,0.8220289855072463,0.7780572755417957,0.7859907120743034,,0.7811818339489712+-0.07080434662648531
test_auc,0.5714285714285714,0.5538847117794486,0.5864661654135339,0.6942355889724311,0.5288220551378446,0.518796992481203,0.5538847117794486,0.5563909774436091,0.5488721804511278,0.5213032581453634,,0.5634085213032581+-0.04807589847831652


test_frac,0.15
layer_1,168
train_frac,0.7
batch_size,5
preweight,15
activation,relu
learning_rate,0.0140260329729161
optimizer,adam
epochs,200
layer_2,122
regularization,0.0017964503201694
dropout,0.3044709628918806
