,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
GzqQ9,0.0570619187597959,10.0,0.22901893723262048,adam,tanh,0.04542621668992998,97.0,108.0,0.7,0.15,200.0,14.0,0.828375207136275,0.12047715953553935,0.49523809523809526,0.04848907584384832
qtfHD,0.19079461803009057,100.0,0.265084497184629,SGD,relu,0.06741054610822898,188.0,156.0,0.7,0.15,200.0,13.0,0.6779864746186274,0.15995888350418302,0.7023809523809523,0.14565708494459795
QihtT,0.03658938596400683,100.0,0.282127556559239,SGD,elu,0.07052037883171919,98.0,89.0,0.7,0.15,200.0,10.0,0.7627714826911338,0.11336516593674818,0.7866071428571428,0.10857222809333851
Ac8f7,0.0019009130859524203,50.0,0.3982928661733241,SGD,tanh,0.08657783229936428,104.0,43.0,0.7,0.15,200.0,42.0,0.41891651205936914,0.15626779944299632,0.5374999999999999,0.15379851243202533
otsrp,0.006650696130901766,70.0,0.0346892036090412,SGD,tanh,0.035001082883347356,71.0,65.0,0.7,0.15,200.0,42.0,0.6198070802228327,0.2011409782004059,0.675595238095238,0.2142898478437298
aXZBd,5.718676902397809e-06,50.0,0.3436513700114413,adam,tanh,0.05584079945205122,43.0,50.0,0.7,0.15,200.0,62.0,0.43698370173062917,0.15369099087277246,0.4988095238095238,0.15855694914587937
cjnPo,0.008275178575987188,10.0,0.31048434278082926,adam,elu,0.06012514812651041,163.0,98.0,0.7,0.15,200.0,34.0,0.8104364735952221,0.15507957578906797,0.5979166666666667,0.12786851782778247
lSpsh,3.2630598875525035e-05,100.0,0.2574540127547836,SGD,tanh,0.004438770585277962,112.0,73.0,0.7,0.15,200.0,21.0,0.4251183015502429,0.16701715051010385,0.4398809523809524,0.13884367177780832
PaAtM,7.387125617998878e-06,10.0,0.25537171075407755,adam,elu,0.08544702439326,136.0,133.0,0.7,0.15,200.0,45.0,0.6699716563776297,0.18183517276981223,0.7273809523809522,0.184750245091108
papJr,0.0006966773835202318,100.0,0.13349068081395093,adam,relu,0.08603098036680834,81.0,107.0,0.7,0.15,200.0,33.0,0.6550602796674225,0.15828493296688742,0.6732142857142857,0.17350858650751763
dwCNE,7.959183741480901e-05,100.0,0.0506202841538626,adam,relu,0.0008233646666027883,47.0,15.0,0.7,0.15,200.0,10.0,0.7785614353049268,0.11817490844225298,0.7744047619047619,0.10007968763715752
Cd9on,7.656071521625388e-05,30.0,0.1371475075518828,adam,relu,0.018416062714958926,104.0,40.0,0.7,0.15,200.0,20.0,0.7544903467297084,0.17543785722141786,0.7404761904761904,0.13672866521383312
Ig2So,2.835085151193002e-05,30.0,0.08945340649610595,adam,relu,0.06888839549259755,143.0,12.0,0.7,0.15,200.0,25.0,0.5941680628520856,0.18026579891992475,0.5952380952380952,0.15328970097923683
PjnKL,0.001132746724001074,5.0,0.05005885117921163,adam,tanh,0.02598908088687384,73.0,96.0,0.7,0.15,200.0,52.0,0.8563237131647995,0.11375866367273996,0.7782738095238095,0.11758965858493868
sYcY9,0.004727042119991416,100.0,0.1700060792947972,SGD,tanh,0.09187481674134551,164.0,105.0,0.7,0.15,200.0,15.0,-1,-1,-1,-1
h8hCA,0.0005691809986511168,5.0,0.2938465719590035,adam,elu,0.08016672692987248,65.0,108.0,0.7,0.15,200.0,39.0,0.8114226178796022,0.11964742105595674,0.7318452380952382,0.15761141588846714
h5WJo,0.20408764025267195,70.0,0.39395777360850637,adam,elu,0.06298893790079878,187.0,148.0,0.7,0.15,200.0,51.0,0.8258535560361746,0.14674328440045215,0.6291666666666667,0.1592092225048921
ibzZE,0.3041927001858842,50.0,0.060053293270126144,SGD,tanh,0.04199999312465026,63.0,15.0,0.7,0.15,200.0,28.0,0.8233134223161975,0.09693093418774033,0.8410714285714285,0.043419752916278295
dDDyd,0.022606139162991406,100.0,0.23123075989267794,SGD,relu,0.052924110200260194,52.0,23.0,0.7,0.15,200.0,45.0,0.6250462962962964,0.1291970448561356,0.6255952380952381,0.14393073770475792
nL0DI,0.003935757757211,30.0,0.37772707864259475,adam,tanh,0.04489162367049979,148.0,46.0,0.7,0.15,200.0,53.0,0.9089798980955319,0.028933341465525345,0.8196428571428571,0.08988095238095238
LmFMs,1.442647629686955e-06,100.0,0.366706387113182,SGD,tanh,0.01010144542985757,177.0,107.0,0.7,0.15,200.0,68.0,0.4580433304709769,0.12007931514362725,0.5184523809523809,0.15814637189423808
lc8zq,2.5262299553753835e-05,70.0,0.25947189813959654,adam,elu,0.012872637337086735,158.0,23.0,0.7,0.15,200.0,27.0,-1,-1,-1,-1
MB1dM,0.00022935547534289012,100.0,0.35890498451418135,SGD,tanh,0.015608093618512887,183.0,63.0,0.7,0.15,200.0,19.0,-1,-1,-1,-1
rSyS1,3.2070022603699748e-06,10.0,0.2880286247175147,adam,relu,0.09552635751038108,174.0,99.0,0.7,0.15,200.0,35.0,-1,-1,-1,-1
t9cxA,0.0010686527614134488,5.0,0.0008921625800384803,adam,relu,0.04363864369146693,11.0,146.0,0.7,0.15,200.0,14.0,-1,-1,-1,-1
QtNfh,0.003800136927934348,30.0,0.0620706061989504,SGD,relu,0.08136631167297433,87.0,149.0,0.7,0.15,200.0,65.0,-1,-1,-1,-1
CF7jL,0.14759549541587946,10.0,0.2637966811016936,SGD,tanh,0.0327738774784609,153.0,182.0,0.7,0.15,200.0,37.0,-1,-1,-1,-1
qZrmw,0.024053591008154372,50.0,0.3610248057097193,adam,tanh,0.08178114430783769,180.0,138.0,0.7,0.15,200.0,51.0,-1,-1,-1,-1
mgSTE,2.049184551981815e-06,5.0,0.018426776835296012,SGD,tanh,0.06361833620819073,162.0,133.0,0.7,0.15,200.0,29.0,-1,-1,-1,-1
nF8vn,0.00030422375815908397,70.0,0.06074896819634761,SGD,tanh,0.025637250931622415,90.0,144.0,0.7,0.15,200.0,40.0,-1,-1,-1,-1
MXbLC,0.0013747060130889894,70.0,0.14648232866343047,adam,tanh,0.09732733040616781,127.0,113.0,0.7,0.15,200.0,43.0,-1,-1,-1,-1
KsqCh,1.1245630538929554e-05,50.0,0.07036762510912853,adam,tanh,0.017726271439068308,73.0,174.0,0.7,0.15,200.0,24.0,-1,-1,-1,-1
Q3Rxr,0.026125823025414566,50.0,0.018460667676124178,adam,elu,0.0294737690710988,107.0,83.0,0.7,0.15,200.0,22.0,-1,-1,-1,-1
EvQFI,0.033856300606194635,50.0,0.29269813339123474,SGD,tanh,0.08809759393910553,62.0,66.0,0.7,0.15,200.0,11.0,-1,-1,-1,-1
TEXRM,0.19120118383086723,50.0,0.011208960477401365,SGD,relu,0.06844989817453878,105.0,65.0,0.7,0.15,200.0,35.0,-1,-1,-1,-1
