,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
UhSpA,1.7297771999025674e-05,10.0,0.29775042116182115,SGD,relu,0.06450077262127181,66.0,199.0,0.7,0.15,200.0,0.4811670972119961,0.13804972403309804,0.5333333333333333,0.12954328460029882
X8rJs,0.0007470467500639056,50.0,0.23474175074594555,SGD,relu,0.041832472131765955,136.0,30.0,0.7,0.15,200.0,0.6486691232048375,0.13984040532701963,0.6714285714285715,0.11781504779750482
wyADf,0.031436080617499335,30.0,0.0495620917408107,adam,elu,0.08112888601900536,184.0,97.0,0.7,0.15,200.0,0.878819163524463,0.03566541228949718,0.7821428571428571,0.12070865019248835
wvBHZ,0.4509321040137427,10.0,0.1990969077213691,adam,relu,0.031965828506904125,108.0,171.0,0.7,0.15,200.0,0.676739488785544,0.08217145219110157,0.5122023809523809,0.06652900859971363
IOc7V,0.0028179624360726,100.0,0.08680685519813586,SGD,tanh,0.05280538374458348,139.0,198.0,0.7,0.15,200.0,0.7877001721132485,0.0502303946610498,0.8029761904761905,0.03495725442863337
k159t,0.0003190655939732681,10.0,0.37039769733011685,SGD,tanh,0.08682160535591832,88.0,115.0,0.7,0.15,200.0,0.7569423957269206,0.03688257544447273,0.7767857142857142,0.08773454150585522
e0on8,4.076745491173539e-06,50.0,0.05412906182141111,SGD,tanh,0.023518633680419322,107.0,92.0,0.7,0.15,200.0,0.4909848408728744,0.1454515881497882,0.5416666666666667,0.12443181524027899
gIhVy,0.4627438629897943,10.0,0.1350994855291133,adam,elu,0.03593671154366077,29.0,200.0,0.7,0.15,200.0,0.7482116230330516,0.13306515745968703,0.59375,0.162954242582809
F87Ua,0.480521925698529,50.0,0.35113425934235054,adam,elu,0.05968362848464801,76.0,57.0,0.7,0.15,200.0,0.7018219954648526,0.21116794576384842,0.5029761904761905,0.008928571428571463
rdLRm,0.05049028351966368,5.0,0.014595862849148267,adam,tanh,0.0550972756115272,156.0,125.0,0.7,0.15,200.0,0.8518380981748234,0.05148093203497119,0.5767857142857143,0.14051780053635088
HC2Kx,0.09391066548399565,10.0,0.1893003120682959,SGD,tanh,0.049192023994864144,51.0,95.0,0.7,0.15,200.0,0.8911341676692542,0.0353050561432593,0.8666666666666666,0.009671474291233278
wVix0,0.00811672938623351,5.0,0.03457355453148905,SGD,elu,0.01691995632959603,118.0,69.0,0.7,0.15,200.0,0.8599988493047169,0.06756509177424762,0.8779761904761905,0.010730807367452333
vkQdO,2.123033567277351e-06,5.0,0.37764562320082184,adam,relu,0.07781146395174585,41.0,32.0,0.7,0.15,200.0,-1,-1,-1,-1
v5OHQ,0.18733281519327347,50.0,0.26701058517905507,SGD,tanh,0.08564531670615921,190.0,106.0,0.7,0.15,200.0,0.8731276784534352,0.044874555357941485,0.8601190476190474,0.013376312532288258
Ljl4m,0.0015069845911567972,70.0,0.2353820790949707,SGD,elu,0.07961360948240283,57.0,173.0,0.7,0.15,200.0,0.7772879858640398,0.08093501923212917,0.7738095238095237,0.05078745001833701
jjGOk,0.08127177854895774,5.0,0.22350056382398034,SGD,tanh,0.043524629961831256,199.0,32.0,0.7,0.15,200.0,0.8848506648924254,0.0480796115474171,0.8773809523809524,0.007622766949324794
