train_frac,dropout,activation,trialJobId,layer_1,learning_rate,optimizer,regularization,reward,test_frac,epochs,preweight,intermediate,batch_size,layer_2
0.7,0.36479160939516625,elu,JnEWG,20,0.027071762999017382,adam,0.05760767653109873,0.9869073509579891,0.15,200,10,"[0.9797619047619047,0.9869073509579891]",100,60
0.7,0.3126155733881027,relu,zVwse,23,9.940810907762027e-06,adam,0.06461151455659937,0.8759653060556654,0.15,200,43,"[0.8732142857142857,0.8759653060556654]",30,128
0.7,0.3203043242264871,relu,qqLIY,140,3.641914738191655e-06,SGD,0.02013230830834365,0.41886414290800583,0.15,200,22,"[0.4303571428571429,0.41886414290800583]",5,123
0.7,0.22410648035174044,relu,PFZ0G,91,0.0015862395707285017,adam,0.02871590347807991,0.9648237526894817,0.15,200,56,"[0.9758928571428571,0.9648237526894817]",50,117
0.7,0.23666904897448596,tanh,D5das,67,5.853948276589274e-06,adam,0.09775117944123256,0.8800885595250507,0.15,200,46,"[0.8833333333333334,0.8800885595250507]",30,96
0.7,0.2542920094735105,tanh,aFeL1,100,0.02784144703763162,SGD,0.091697241638201,0.9759758486333707,0.15,200,18,"[0.9625,0.9759758486333707]",70,16
0.7,0.26393641819600683,relu,qypkm,47,0.001400261410717553,SGD,0.0698821822541008,0.6448197523173803,0.15,200,70,"[0.6357142857142858,0.6448197523173803]",100,84
0.7,0.1830118404631056,tanh,Eb7NO,67,7.384535397520139e-06,adam,0.07569312587486082,0.9699217429447033,0.15,200,24,"[0.9598214285714286,0.9699217429447033]",5,78
0.7,0.2948546332462035,relu,Q5Vnn,53,0.0009343974329840717,SGD,0.012086712616543527,0.6348111756664387,0.15,200,49,"[0.6244047619047619,0.6348111756664387]",50,15
0.7,0.2870306541181875,relu,w2Bvs,44,0.000498807302346353,adam,0.06774966620799017,0.9871021996900626,0.15,200,27,"[0.9741071428571428,0.9871021996900626]",30,35
0.7,0.13517645522743446,tanh,dcnd0,176,2.18191802753122e-05,SGD,0.06052093213624332,0.5254457252295408,0.15,200,66,"[0.5404761904761904,0.5254457252295408]",30,107
0.7,0.012273976430438394,elu,EZzr5,52,4.6100475871914596e-05,SGD,0.004506604318749274,0.5604598947076729,0.15,200,48,"[0.5842261904761904,0.5604598947076729]",50,137
0.7,0.054815065851643,tanh,oa667,188,0.00016527740908270355,adam,0.04234296759980069,0.9785783466898017,0.15,200,68,"[0.9726190476190476,0.9785783466898017]",100,122
0.7,0.3572918194842074,tanh,k7SX0,28,0.013727450018816081,SGD,0.0030627250787332197,0.9868462758839665,0.15,200,63,"[0.9758928571428571,0.9868462758839665]",70,21
0.7,0.21183515602467806,relu,P1FrI,35,1.2336984048540018e-05,adam,0.09517720775868695,0.9454264996231958,0.15,200,28,"[0.9461309523809524,0.9454264996231958]",10,37
0.7,0.3960381473568748,relu,F0pCX,38,0.007250275299909935,SGD,0.05927127920084155,0.9410148318708236,0.15,200,54,"[0.913690476190476,0.9410148318708236]",30,101
0.7,0.35491952234531365,tanh,wlnNo,84,1.2439139893503458e-06,adam,0.03927496828342928,0.6401819625624544,0.15,200,18,"[0.6142857142857143,0.6401819625624544]",100,69
0.7,0.39941121949851577,relu,CZA1w,33,4.376863370622903e-06,SGD,0.06069747297727355,0.5894968590986294,0.15,200,44,"[0.5991071428571428,0.5894968590986294]",50,79
0.7,0.34776093207186964,relu,jqsNe,166,0.00010980378169334905,adam,0.04892728028777687,0.9850587932281296,0.15,200,57,"[0.9803571428571427,0.9850587932281296]",10,40
0.7,0.02466050589328113,tanh,o1udO,21,0.004569598976687567,adam,0.07818877668129141,0.9781633687800063,0.15,200,18,"[0.9788690476190476,0.9781633687800063]",100,80
