batch_size,epochs,regularization,reward,layer_2,activation,intermediate,layer_1,test_frac,trialJobId,train_frac,dropout,learning_rate,optimizer,preweight
50,200,0.02033177937463082,0.9508662344391032,109,tanh,"[0.9601190476190476,0.9508662344391032]",70,0.15,CnMoJ,0.7,0.020287558147193963,2.2514254707927254e-05,adam,36
100,200,0.022232493744539505,0.36435432702309134,157,relu,"[0.480952380952381,0.36435432702309134]",45,0.15,NJ3YU,0.7,0.36899285279992894,1.981635416418728e-06,SGD,52
50,200,0.07678111912803529,0.9848664433775995,94,relu,"[0.9517857142857142,0.9848664433775995]",162,0.15,R4ZvL,0.7,0.14834391481525944,0.1226439507203434,adam,34
50,200,0.05735555029625727,0.9537088420644999,135,relu,"[0.9550595238095237,0.9537088420644999]",197,0.15,reoZf,0.7,0.019188167949725665,0.005447126000470789,SGD,56
30,200,0.08531713156571652,0.3494185001114161,17,tanh,"[0.42559523809523814,0.3494185001114161]",18,0.15,bGwy8,0.7,0.20029042305014053,1.0495217325183917e-06,SGD,20
30,200,0.04022724641792953,0.5486537476369913,142,elu,"[0.5967261904761905,0.5486537476369913]",132,0.15,yIG7j,0.7,0.11137810563311308,6.02286519231972e-06,SGD,23
5,200,0.09422577875414562,0.4617449320549114,38,elu,"[0.5961309523809524,0.4617449320549114]",76,0.15,Y0G9B,0.7,0.07241696239314636,1.148068118913211e-06,SGD,33
50,200,0.0008818263147301053,0.9818210633535711,200,elu,"[0.981547619047619,0.9818210633535711]",92,0.15,xuz0x,0.7,0.26490124465411263,0.04633268705523446,SGD,64
50,200,0.07232214510900536,0.9713630667578036,163,relu,"[0.9738095238095239,0.9713630667578036]",128,0.15,xqNqT,0.7,0.27593323780580614,0.0006655841913306514,adam,60
10,200,0.015985464026059725,0.9457047213557951,172,relu,"[0.6443452380952381,0.9457047213557951]",41,0.15,udgV5,0.7,0.28708402562360913,0.1741089071427492,adam,48
50,200,0.03796205740309094,0.9469911555630297,147,tanh,"[0.944047619047619,0.9469911555630297]",171,0.15,HOJdc,0.7,0.05231291858225116,0.0019361270344932114,SGD,32
10,200,0.029467382697021583,0.8552689985420946,158,elu,"[0.85,0.8552689985420946]",104,0.15,FBRQQ,0.7,0.22144858930553674,0.00014815804717990003,SGD,13
50,200,0.06238159562272866,0.8025291526380457,25,elu,"[0.8264880952380951,0.8025291526380457]",25,0.15,m8zQn,0.7,0.16501312599836904,9.892371277767648e-06,adam,52
5,200,0.01129706759632605,0.9598754908936957,165,elu,"[0.9735119047619047,0.9598754908936957]",28,0.15,u974F,0.7,0.013725151958733495,7.4185462429548535e-06,adam,32
70,200,0.05973045886864714,0.9034291682317998,186,tanh,"[0.6544642857142857,0.9034291682317998]",199,0.15,eVlDq,0.7,0.3085354558087646,0.42825203955443103,adam,55
100,200,0.09144707756010047,0.9455097493673316,140,relu,"[0.9565476190476192,0.9455097493673316]",155,0.15,L7Gyg,0.7,0.3100946868466433,0.00016902992076436618,adam,49
100,200,0.013828825776037591,0.39688575440340224,120,elu,"[0.5139880952380953,0.39688575440340224]",11,0.15,oOdKo,0.7,0.003619457853814856,6.964149342783922e-06,SGD,16
70,200,0.07800791425505565,0.9392438284805584,24,tanh,"[0.9598214285714285,0.9392438284805584]",140,0.15,Debe3,0.7,0.1733100565757694,2.5183817152589774e-05,adam,34
100,200,0.09113772472551618,0.5273383453095735,26,elu,"[0.5029761904761905,0.5273383453095735]",168,0.15,JJlkN,0.7,0.03637814602494882,8.975995082791546e-06,SGD,22
50,200,0.015746781117631083,0.9513495018260469,86,relu,"[0.9363095238095239,0.9513495018260469]",146,0.15,GMMyd,0.7,0.15090050577996778,0.0032419841474160024,SGD,16
50,200,0.0012042778925256232,0.9908857123044766,75,relu,"[0.9758928571428573,0.9908857123044766]",106,0.15,OWWqM,0.7,0.38523233769749776,0.032047587951937476,adam,40
