,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
TwEMY,0.000107010518072887,5.0,0.18985240520184338,SGD,relu,0.00684905187002649,137.0,165.0,0.7,0.15,200.0,48.0,0.5119995420166037,0.1193402752471244,0.4976076555023924,0.14229210656705232
k425d,0.049875831280071205,50.0,0.11694183245861628,SGD,relu,0.01780145964799188,75.0,40.0,0.7,0.15,200.0,53.0,0.7240479034188223,0.1846022073531146,0.7593301435406699,0.16316841790700673
c1JZO,4.068989752377573e-05,10.0,0.20495634531897045,SGD,tanh,0.05774393312924582,116.0,177.0,0.7,0.15,200.0,49.0,0.502878625575136,0.07730762972002998,0.5480063795853269,0.11106297398746295
VhJJS,7.486550964651654e-06,30.0,0.14075562104911607,adam,elu,0.017924289097388215,18.0,64.0,0.7,0.15,200.0,14.0,0.5288571886597574,0.14191628531678754,0.5921850079744816,0.12483678540565639
h85io,0.0017535392385449424,10.0,0.01226777192078914,SGD,elu,0.012751668146685536,97.0,128.0,0.7,0.15,200.0,25.0,0.7177729698725487,0.15665962541695277,0.7811802232854864,0.13935378747921306
CKDvd,0.0014131336976152828,50.0,0.1949734743011018,adam,tanh,0.06075090537872774,187.0,56.0,0.7,0.15,200.0,69.0,0.8433355717136578,0.09973663161503686,0.8650717703349283,0.06564776192733325
VgUzm,0.0055618418811819595,100.0,0.1675085015828633,SGD,tanh,0.03866231465270982,104.0,139.0,0.7,0.15,200.0,28.0,0.5003675409557334,0.17024609692982293,0.6676236044657097,0.14480253428997494
WL46v,0.007713026943623437,30.0,0.06871953124147222,SGD,relu,0.011939640976308697,32.0,181.0,0.7,0.15,200.0,22.0,0.6378850198567785,0.15314197382179298,0.6851674641148325,0.18456017411690695
dEx1J,0.011031900056187035,70.0,0.24880767483636668,adam,relu,0.06663450503214646,99.0,119.0,0.7,0.15,200.0,58.0,0.7201234265445802,0.16108667539459828,0.7127591706539074,0.17821915699981702
pmVZ1,0.021643613237794568,100.0,0.39768937499826584,SGD,relu,0.08234400113788848,119.0,38.0,0.7,0.15,200.0,20.0,0.5829504507487577,0.11623220736712646,0.5814992025518342,0.13606942902297223
Jn09X,0.009939670006608746,30.0,0.11650221838105113,SGD,relu,0.05668795419421111,191.0,57.0,0.7,0.15,200.0,55.0,0.6134406388095761,0.13327050653075384,0.6649122807017545,0.1688956057817787
RmQW6,0.00017717339265080115,100.0,0.24419667531472442,SGD,tanh,0.053254560188992994,41.0,105.0,0.7,0.15,200.0,18.0,0.46602374822362547,0.11683883042491455,0.5167464114832536,0.16883919385622415
LC5t7,3.563999563768918e-06,50.0,0.11614000165005188,SGD,tanh,0.04713032855018101,28.0,20.0,0.7,0.15,200.0,22.0,0.4911077776233298,0.11625640159978766,0.5187400318979266,0.15444710011167082
umOGv,0.006096090739267618,10.0,0.3913774536932886,SGD,tanh,0.0788296971388603,70.0,136.0,0.7,0.15,200.0,47.0,0.7665256900892583,0.06326976827629026,0.8832535885167463,0.028448229845618248
oeCd7,0.28450655037705314,70.0,0.15108586825372194,SGD,elu,0.030111776007330306,151.0,73.0,0.7,0.15,200.0,23.0,0.8117425773953272,0.12608715992797195,0.8665071770334928,0.06411026985915387
