dropout,train_frac,test_frac,preweight,learning_rate,activation,intermediate,regularization,layer_1,layer_2,optimizer,batch_size,epochs,reward,trialJobId
0.1715024594659149,0.7,0.15,60,0.00017289498630246027,elu,"[0.6820802005012532,0.5875769413308153]",0.027154256483697948,22,149,SGD,70,200,0.5875769413308153,txATH
0.02295067664932611,0.7,0.15,69,0.0010114439336998589,elu,"[0.6300751879699248,0.6572714896790505]",0.025033167549098012,91,67,SGD,30,200,0.6572714896790505,t0Q6m
0.2680975017062398,0.7,0.15,65,1.47868408020879e-05,tanh,"[0.5774436090225564,0.6409864877051215]",0.02446628207967935,169,90,adam,70,200,0.6409864877051215,Adbfs
0.12896751170706305,0.7,0.15,63,0.015798883460544918,elu,"[0.561654135338346,0.63815747764814]",0.09489660709195621,125,56,SGD,50,200,0.63815747764814,EYWB6
0.36947763017404633,0.7,0.15,38,0.0001560295036941544,relu,"[0.6857142857142857,0.6230022466251958]",0.08469969556030364,162,28,SGD,5,200,0.6230022466251958,N4say
0.05300606221463022,0.7,0.15,45,0.01500704485049079,relu,"[0.5877192982456141,0.6694922512452905]",0.028374912589341772,20,93,SGD,70,200,0.6694922512452905,HIbdv
0.09039212847914878,0.7,0.15,17,0.1134915540336912,relu,"[0.5530075187969924,0.5880415405169597]",0.05616903066466338,185,163,adam,50,200,0.5880415405169597,T1J4g
0.2607871127813443,0.7,0.15,47,9.983422236764886e-05,tanh,"[0.6419799498746868,0.6542224870446102]",0.020780072103237124,18,63,adam,5,200,0.6542224870446102,NB49Y
0.16023388738671918,0.7,0.15,21,3.3849267501301663e-06,elu,"[0.4916040100250627,0.4274373031138361]",0.03232417832977581,35,67,SGD,50,200,0.4274373031138361,e35MU
0.07418872112658348,0.7,0.15,13,5.887871043935744e-05,elu,"[0.5035087719298245,0.4701893770134314]",0.09498310578993957,16,165,SGD,70,200,0.4701893770134314,GWnES
0.17308163520448772,0.7,0.15,53,0.00012033277433759582,relu,"[0.5615288220551379,0.6356608912999558]",0.01205013533907825,44,172,adam,5,200,0.6356608912999558,DjIZP
0.2587424914521363,0.7,0.15,34,0.02608752739559936,elu,"[0.5083959899749374,0.6450125898959576]",0.0081508291074897,151,169,adam,30,200,0.6450125898959576,SZAJS
0.12074409113093108,0.7,0.15,27,0.21885395418343673,elu,"[0.6758145363408522,0.611803998638295]",0.057382319509664485,173,35,SGD,70,200,0.611803998638295,YI7Nz
0.2980382966531561,0.7,0.15,57,1.8668396868310555e-05,relu,"[0.5666666666666667,0.6793124925492233]",0.06347315249147732,84,113,adam,5,200,0.6793124925492233,FrMuy
0.009721737025277255,0.7,0.15,30,0.003246437235999794,tanh,"[0.6518796992481202,0.6602104203109258]",0.016665749855459135,89,170,adam,100,200,0.6602104203109258,MuCDS
0.31868215963340385,0.7,0.15,12,0.0021831532605215364,elu,"[0.6238095238095238,0.6609388346919177]",0.030666439526825674,59,112,adam,100,200,0.6609388346919177,M83zJ
0.024273745779334277,0.7,0.15,55,0.3675055689401154,relu,"[0.4696741854636592,0.5656505397940041]",0.08578165183131653,73,106,adam,70,200,0.5656505397940041,w8L8h
0.3035918637016197,0.7,0.15,62,0.04236195019639344,tanh,"[0.606015037593985,0.6556844022070816]",0.05256510228335179,27,47,adam,70,200,0.6556844022070816,RBMG4
0.34957847043120344,0.7,0.15,53,2.1211796671033585e-06,tanh,"[0.4926065162907268,0.4723812662921528]",0.016506338503636097,53,18,SGD,70,200,0.4723812662921528,KwA5n
0.19293001143597174,0.7,0.15,21,0.0034634713675164228,tanh,"[0.6696741854636592,0.63748220665262]",0.06903159755502118,26,193,adam,50,200,0.63748220665262,ChkOF
0.24150526037071274,0.7,0.15,43,1.0633870856000722e-05,relu,"[0.5912280701754387,0.4981733556921667]",0.04114380994376095,129,126,SGD,10,200,0.4981733556921667,WeHSE
0.3891072186797605,0.7,0.15,48,0.0006837011235524137,relu,"[0.6634085213032582,0.6000142371410309]",0.06925098198730782,113,84,SGD,10,200,0.6000142371410309,y8A33
0.2259582971135086,0.7,0.15,41,0.014493395682016892,relu,"[0.5101503759398496,0.6018622709508927]",0.0023843695892203504,73,129,adam,5,200,0.6018622709508927,cKE0t
0.3171464086596666,0.7,0.15,48,2.1212036795109954e-05,relu,"[0.6918546365914787,0.5893013641679087]",0.03976642440090153,200,89,SGD,5,200,0.5893013641679087,Gruw2
0.05604830504455915,0.7,0.15,58,1.2169040052899914e-06,relu,"[0.4448621553884712,0.4396964655599439]",0.06830105791508838,140,131,SGD,5,200,0.4396964655599439,L0H3i
0.29101361183726693,0.7,0.15,35,0.0005241012811914628,relu,"[0.5884711779448623,0.660754996845432]",0.043436564602482956,99,141,adam,10,200,0.660754996845432,uwjkf
0.22601312526484033,0.7,0.15,45,0.07889397510391657,relu,"[0.6365914786967419,0.6369906228470918]",0.062058488610433636,73,98,SGD,30,200,0.6369906228470918,o2DG4
0.3387303626417586,0.7,0.15,67,4.630507404402039e-06,relu,"[0.6541353383458647,0.6279613100890015]",0.047399252404707146,112,115,adam,100,200,0.6279613100890015,fTmIl
