layer_2,train_frac,epochs,trialJobId,reward,layer_1,test_frac,intermediate,optimizer,batch_size,activation,learning_rate,dropout,regularization,preweight
181,0.7,200,c5jHA,0.4854030883475514,159,0.15,"[0.5048196721311475,0.4854030883475514]",SGD,70,tanh,6.184839658704464e-06,0.3096139117059002,0.049030032943140824,27
184,0.7,200,DBmXc,0.49035667907245273,64,0.15,"[0.49150819672131146,0.49035667907245273]",SGD,5,elu,0.05190180274390589,0.055325601284053554,0.06722597256610435,64
195,0.7,200,sm0Uf,0.47735687061686666,185,0.15,"[0.48993442622950817,0.47735687061686666]",adam,100,relu,1.6651762377016254e-06,0.2778668917692115,0.039856304767282025,14
14,0.7,200,CfM38,0.4913482377260907,148,0.15,"[0.5065901639344262,0.4913482377260907]",SGD,70,elu,0.0001909237717206213,0.17948237307242346,0.022102946845534956,46
168,0.7,200,WSQMQ,0.5008285411701755,155,0.15,"[0.49626229508196723,0.5008285411701755]",adam,10,relu,0.021176817439262943,0.25426433702658774,0.013535177457540204,26
63,0.7,200,s7oLp,0.4987181411949038,13,0.15,"[0.4928032786885246,0.4987181411949038]",adam,10,relu,0.00398511324094418,0.13654329357160894,0.04260135625652224,49
10,0.7,200,BjXIY,0.49532072723763554,14,0.15,"[0.49960655737704923,0.49532072723763554]",adam,50,elu,0.41268918025452106,0.15659221031218365,0.036945001069620974,21
107,0.7,200,x6zrJ,0.47184329212569365,50,0.15,"[0.4811803278688524,0.47184329212569365]",SGD,70,relu,9.402098734944187e-06,0.3636267668663343,0.011549757393768302,18
149,0.7,200,aPKX8,0.47499091114740344,50,0.15,"[0.48911475409836075,0.47499091114740344]",SGD,70,elu,1.0078732086746751e-05,0.38160645872720056,0.0304328336604918,49
170,0.7,200,oIJV6,0.5372162814585956,97,0.15,"[0.5065245901639344,0.5372162814585956]",SGD,30,tanh,0.26766339541641554,0.325963053275931,0.012506567219755805,69
118,0.7,200,ZtA1r,0.5810580136490053,135,0.15,"[0.5419344262295083,0.5810580136490053]",SGD,5,relu,0.0008023564348394971,0.3116657359985435,0.09763315501578007,50
33,0.7,200,ZM8nm,0.509856571410704,90,0.15,"[0.4846229508196721,0.509856571410704]",adam,50,tanh,0.0720738465359739,0.3280018204294,0.08923296169060105,50
180,0.7,200,zdBEr,0.4857547301186713,88,0.15,"[0.48465573770491793,0.4857547301186713]",SGD,70,tanh,8.980826325144064e-06,0.03691012431816914,0.015912691912489153,29
118,0.7,200,k8UWu,0.5498525820811271,159,0.15,"[0.5464918032786885,0.5498525820811271]",adam,5,elu,2.108901737875227e-06,0.05601082484699611,0.0804322980908079,39
38,0.7,200,fzPZL,0.5309948071767916,173,0.15,"[0.5138688524590165,0.5309948071767916]",adam,100,relu,1.0436929501274148e-05,0.12376275893164652,0.08091236300712018,52
11,0.7,200,Zujmw,0.4949377339864827,139,0.15,"[0.48629508196721316,0.4949377339864827]",SGD,30,relu,5.1787977426058084e-05,0.3573891710212778,0.08797975020328985,16
20,0.7,200,qPs9j,0.5823519554405816,20,0.15,"[0.5071475409836065,0.5823519554405816]",adam,5,tanh,0.00015519263140855404,0.22156034844091468,0.05311386419450689,59
198,0.7,200,RFy4z,0.4541403366541519,66,0.15,"[0.4679344262295082,0.4541403366541519]",SGD,50,elu,1.5424001406640047e-06,0.12479419893127593,0.04263761861392737,51
24,0.7,200,vwIKr,0.48598005631124985,177,0.15,"[0.49485245901639335,0.48598005631124985]",SGD,100,relu,6.154495047024943e-06,0.2704107184145354,0.00911329070707574,14
163,0.7,200,WjvyL,0.4857433190419198,55,0.15,"[0.5134754098360655,0.4857433190419198]",SGD,70,relu,8.005666770793957e-06,0.01552753830978748,0.03437543121385023,15
