activation,intermediate,optimizer,regularization,dropout,trialJobId,train_frac,epochs,test_frac,layer_1,batch_size,layer_2,reward,learning_rate,preweight
relu,"[0.959672619047619,0.9655566571606506]",SGD,0.02685714028201838,0.17628179223754606,pIbYK,0.7,200,0.15,73,100,146,0.9655566571606506,0.010996341655548256,23
relu,"[0.6416666666666668,0.6258351845027976]",SGD,0.08158567967301915,0.3361955243885434,KZYuc,0.7,200,0.15,111,70,24,0.6258351845027976,5.25390494792408e-06,48
tanh,"[0.5092261904761906,0.8862176972071325]",adam,0.03672908320234587,0.30969917336118635,Xrw3j,0.7,200,0.15,17,10,175,0.8862176972071325,0.08948141106530949,19
tanh,"[0.9693452380952381,0.9598689983356792]",SGD,0.06405848984376981,0.18153868717000546,U8QvU,0.7,200,0.15,78,100,44,0.9598689983356792,0.00824378142305674,34
relu,"[0.9733630952380953,0.9704820556219402]",adam,0.04149703457553081,0.35615131960265856,wezOj,0.7,200,0.15,109,50,132,0.9704820556219402,3.6008384168027364e-05,55
elu,"[0.9566964285714287,0.9585847575691788]",SGD,0.021819492489676708,0.3871168068981889,cTFqk,0.7,200,0.15,71,30,127,0.9585847575691788,0.001327641926378578,24
elu,"[0.9580357142857144,0.9701556912401978]",SGD,0.07955633920033521,0.04328867907128649,HA7RT,0.7,200,0.15,190,10,198,0.9701556912401978,0.0005156745057951647,55
tanh,"[0.9438988095238094,0.9308320337888194]",SGD,0.03771280674442473,0.017215113094490777,Rel5j,0.7,200,0.15,14,30,17,0.9308320337888194,4.717362980176374e-05,52
tanh,"[0.9694940476190477,0.9604029593974881]",SGD,0.018328523121679197,0.3361622333842278,u8kUk,0.7,200,0.15,163,50,150,0.9604029593974881,0.0030806619300719667,10
relu,"[0.9386904761904763,0.9267568510017089]",SGD,0.021146628673589265,0.2210545346962023,yMCcz,0.7,200,0.15,192,10,11,0.9267568510017089,4.271095533979831e-05,68
tanh,"[0.9754464285714286,0.9881709226775618]",adam,0.047163056786372906,0.03789941620204238,nmwQU,0.7,200,0.15,43,30,148,0.9881709226775618,0.0006236434529843439,65
