optimizer,layer_1,train_frac,epochs,layer_2,intermediate,reward,batch_size,learning_rate,preweight,trialJobId,activation,regularization,dropout,test_frac
SGD,144,0.7,200,137,"[0.9370408163265307,0.9707059420522267]",0.9707059420522267,70,0.03442248474317049,9,RytW5,relu,0.022955535740713587,0.2713280948595737,0.15
SGD,165,0.7,200,127,"[0.9409183673469388,0.9713470190953768]",0.9713470190953768,50,0.03253687885728297,5,m2L0R,elu,0.038167122263011555,0.39162377857515973,0.15
adam,129,0.7,200,61,"[0.9575510204081633,0.9821961753893038]",0.9821961753893038,5,0.0002665017077756292,6,SrT7t,tanh,0.016241184428967548,0.3701964095257276,0.15
adam,123,0.7,200,15,"[0.9483673469387754,0.9617684493284573]",0.9617684493284573,100,0.00022229858632236577,8,LtXLI,elu,0.07242281564134857,0.2635815749737051,0.15
adam,40,0.7,200,85,"[0.9155102040816328,0.9758272030743157]",0.9758272030743157,5,0.01861586218612777,9,xUlIY,relu,0.07145870141196956,0.05804225423181904,0.15
SGD,152,0.7,200,15,"[0.9439795918367349,0.9784290925314577]",0.9784290925314577,30,0.018145987648307174,3,GPujX,elu,0.033647621177270784,0.30292938626966326,0.15
adam,84,0.7,200,179,"[0.9545918367346939,0.9830877314162361]",0.9830877314162361,50,0.0012433809877890596,3,g9jRr,tanh,0.026165694148102537,0.18290936790517,0.15
adam,137,0.7,200,11,"[0.5560204081632654,0.9491826345686125]",0.9491826345686125,100,0.029780373357478566,7,miDWz,elu,0.006547649547179857,0.05863858523922083,0.15
adam,26,0.7,200,151,"[0.9567346938775512,0.9809441030738174]",0.9809441030738174,100,0.0014552060369169286,4,CcKWh,elu,0.057618726642930176,0.022175746605284898,0.15
adam,103,0.7,200,114,"[0.9431632653061225,0.9509723699362478]",0.9509723699362478,10,1.7009353083977206e-06,10,ECt5m,tanh,0.06512068541730795,0.251264558310056,0.15
adam,179,0.7,200,50,"[0.9575510204081633,0.9823643907026044]",0.9823643907026044,70,0.01117634139199734,4,YF8zr,tanh,0.020357729979573115,0.2747668828522093,0.15
SGD,136,0.7,200,93,"[0.9142857142857143,0.928269429973969]",0.928269429973969,5,0.0001109815182981006,7,rJzNc,relu,0.03331559030794368,0.3645427631910702,0.15
SGD,39,0.7,200,53,"[0.9366326530612245,0.9493275019531768]",0.9493275019531768,10,9.250173910395186e-05,6,JpV4T,tanh,0.020273138917777635,0.07748529238693638,0.15
SGD,143,0.7,200,94,"[0.9193877551020406,0.9310866248885791]",0.9310866248885791,50,0.000851576925807607,9,AFOHi,relu,0.0788125351884101,0.1354077471370701,0.15
SGD,41,0.7,200,100,"[0.9231632653061224,0.9705355510405409]",0.9705355510405409,30,0.11534143308810949,3,nxn5s,relu,0.0619497784245578,0.23116192919779796,0.15
adam,165,0.7,200,105,"[0.9592857142857143,0.9771862612027391]",0.9771862612027391,50,0.0005287684887787149,8,RG6wu,tanh,0.07830118279276918,0.3559803449523449,0.15
SGD,95,0.7,200,115,"[0.9198979591836733,0.948851318949635]",0.948851318949635,5,7.876855374467848e-05,5,lGIBo,elu,0.020596117147482773,0.15140685115988717,0.15
adam,177,0.7,200,12,"[0.9268367346938776,0.9753865116062943]",0.9753865116062943,50,0.03198871253392891,4,DZjvo,elu,0.06048205591988666,0.20577956343845796,0.15
adam,92,0.7,200,30,"[0.9395918367346938,0.9836949345973556]",0.9836949345973556,30,0.022749897958520122,9,uyohl,tanh,0.09369112216733902,0.03699537670500535,0.15
adam,87,0.7,200,191,"[0.9227551020408165,0.9355176149089836]",0.9355176149089836,50,1.961423283329907e-05,8,tgsvV,relu,0.030467880686576257,0.08692901650981716,0.15
adam,69,0.7,200,171,"[0.5428061224489796,0.9451837874548931]",0.9451837874548931,30,0.3972196681239898,2,Wk13v,tanh,0.09627881838562534,0.133838337547416,0.15
adam,67,0.7,200,199,"[0.9551020408163267,0.9817396595665183]",0.9817396595665183,30,0.0031483770567212136,10,uTcFi,tanh,0.09982067750390723,0.0054474473490136455,0.15
adam,74,0.7,200,176,"[0.4536224489795919,0.9424828037064208]",0.9424828037064208,30,0.3259010247469776,2,fJNnz,tanh,0.045256523529321725,0.18192342820661025,0.15
adam,59,0.7,200,30,"[0.9677551020408164,0.982622899147694]",0.982622899147694,10,0.004190441396759632,3,WbGJH,tanh,0.0011004868558577609,0.10885066849011635,0.15
adam,115,0.7,200,77,"[0.9451020408163264,0.9549825434376402]",0.9549825434376402,30,1.8107324286203005e-05,5,rbxgp,tanh,0.09370019298613358,0.30991781320154926,0.15
adam,86,0.7,200,154,"[0.9564285714285713,0.9820006045247028]",0.9820006045247028,50,0.0048857354411572795,7,zWvkR,tanh,0.04947905285899552,0.176741972819318,0.15
adam,12,0.7,200,33,"[0.3706632653061225,0.9661185956610497]",0.9661185956610497,70,0.12018439955718896,2,rzysc,tanh,0.0060870437162556315,0.04002172149577424,0.15
adam,111,0.7,200,77,"[0.7216836734693878,0.9591498398251342]",0.9591498398251342,50,0.10991672041245064,6,G8qBO,tanh,0.08783989415234683,0.0014839066130974132,0.15
adam,53,0.7,200,137,"[0.9583673469387757,0.9804230130655119]",0.9804230130655119,70,0.007604661440488368,9,IkgFV,tanh,0.04256820629599673,0.21268761206170175,0.15
adam,82,0.7,200,183,"[0.9588775510204082,0.9879828872625108]",0.9879828872625108,30,0.0017387893897056234,10,ImE9q,tanh,0.010664298489612959,0.1007720796689214,0.15
adam,101,0.7,200,139,"[0.9395918367346938,0.9526138361244042]",0.9526138361244042,30,1.125669687441292e-06,10,fyOTR,tanh,0.01187665218342139,0.11547394230235111,0.15
adam,13,0.7,200,157,"[0.6846938775510204,0.9687340447576421]",0.9687340447576421,30,0.06712801238679328,10,qi4S7,tanh,0.08424371314155238,0.026523300559062768,0.15
SGD,51,0.7,200,30,"[0.7018367346938775,0.7129461937038887]",0.7129461937038887,30,1.8310434873551384e-05,9,xYH0P,tanh,0.0535224269654197,0.078246529216971,0.15
adam,197,0.7,200,70,"[0.9688775510204082,0.9819379919696558]",0.9819379919696558,30,0.002917672398960785,8,V9paw,relu,1.3928027068054252e-05,0.10282945371358661,0.15
adam,129,0.7,200,127,"[0.9580612244897958,0.9749029409173101]",0.9749029409173101,100,0.00034538403106597603,10,KJNoA,tanh,0.01335073545977028,0.050331651128881244,0.15
adam,79,0.7,200,123,"[0.9383673469387755,0.9838907648473494]",0.9838907648473494,30,0.011935653034303466,9,nyxaD,elu,0.06775828663047606,0.15004327385114577,0.15
SGD,78,0.7,200,165,"[0.9508163265306123,0.9747394775831901]",0.9747394775831901,5,0.0016788270407163198,8,BsHrx,elu,0.06885123336153626,0.1569494258628174,0.15
adam,23,0.7,200,188,"[0.9325510204081633,0.9507928312062063]",0.9507928312062063,30,6.784177140962802e-06,7,WUkpb,elu,0.040549624028055085,0.22800308686763032,0.15
adam,119,0.7,200,142,"[0.9260204081632655,0.9770705010419072]",0.9770705010419072,10,0.012047196919373504,9,ZFave,elu,0.07500426392506343,0.16432365914510158,0.15
adam,32,0.7,200,124,"[0.948469387755102,0.974204980944692]",0.974204980944692,100,0.00025405461376600707,10,GvVdK,elu,0.05482027581993033,0.13086774770651455,0.15
adam,59,0.7,200,185,"[0.9531632653061225,0.9755367274229176]",0.9755367274229176,70,4.340880358736904e-05,8,m33Hz,elu,0.06718268411028408,0.399248289480587,0.15
SGD,107,0.7,200,165,"[0.9489795918367345,0.979296268093286]",0.979296268093286,30,0.04984022625976867,10,mtvRN,elu,0.049226697350478035,0.3276961526934331,0.15
adam,153,0.7,200,199,"[0.9434693877551019,0.9792488704102812]",0.9792488704102812,5,0.0006101138092798035,9,uhACH,elu,0.08237942410583472,0.27927588773867246,0.15
adam,128,0.7,200,147,"[0.9475510204081632,0.9765610977552704]",0.9765610977552704,100,0.0017166062508652423,7,Uvyu4,elu,0.025419547854961835,0.25202238025960616,0.15
SGD,80,0.7,200,110,"[0.8817857142857143,0.9796841072864343]",0.9796841072864343,10,0.21645941846768035,5,HCvk7,relu,0.03389897033250113,0.06891518943246364,0.15
adam,100,0.7,200,122,"[0.9328571428571429,0.9835294830593057]",0.9835294830593057,30,0.008225779875365652,6,Y7BHi,elu,0.07234058962581333,0.19688333359185314,0.15
SGD,45,0.7,200,132,"[0.9133673469387755,0.9382004568177438]",0.9382004568177438,70,0.0008157428797230738,9,gmVAR,relu,0.0635833736971271,0.09324205820903814,0.15
adam,62,0.7,200,90,"[0.9209183673469388,0.9854632687460002]",0.9854632687460002,30,0.018446368654367374,8,rt7Pc,elu,0.08864736721428164,0.12747351716741984,0.15
