Dataset,Just Values,Just Graph,Values and Graph
,,,
cirrhosis (no viruses),val:0.950+-0.054,val:0.917+-0.050,val:0.930+-0.042
,test:0.876+-0.019,test:0.842+-0.017,test:0.861+-0.025
ibd,val:0.992+-0.005,val:0.991+-0.006,val:0.994+-0.006
,test:0.976+-0.008,test:0.971+-0.01,test:0.977+-0.006
black and white,val:0.754+-0.069,val:0.725+-0.042,val:0.714+-0.059
,test:0.559+-0.052,test:0.593+-0.097,test:0.519+-0.015
gdm - ?? ????,val:0.661+-0.041,val:,val:0.601+-0.025
,test:0.566+-0.047,test:,test:0.552+-0.033
ibd chrone,val:0.943+-0.02,val:0.865+-0.043,val:0.902+-0.049
,test:0.915+-0.045,test:0.870+-0.034,test:0.913+-0.006
Allergy or not,val:0.873+-0.050,val:0.829+-0.070,val:0.860+-0.059
,test:0.717+-0.035,test:0.750+-0.029,test:0.734+-0.008
Allergy milk,val:0.799+-0.047,val:0.833+-0.057,val:0.776+-0.033
,test:0.694+-0.088,test:0.766+-0.016,test:0.724+-0.044
Male and Female,val:0.662+-0.051,val:0.635+-0.061,val:0.615+-0.082
,test:0.594+-0.082,test:0.480+-0.048,test:0.436+-0.029
