Dataset,Just Values,Just Graph,Values and Graph
,,,?? AXW ????? gcn
cirrhosis (no viruses),val:0.950+-0.054,-,val:0.930+-0.042
,test:0.876+-0.019,,test:0.861+-0.025
ibd,val:0.992+-0.005,-,val:0.994+-0.006
,test:0.976+-0.008,,test:0.977+-0.006
black and white,val:0.754+-0.069,-,val:0.714+-0.059
,test:0.559+-0.052,,test:0.519+-0.015
gdm - ?? ????,val:0.661+-0.041,-,val:0.601+-0.025
,test:0.566+-0.047,,test:0.552+-0.033
ibd chrone,val:0.943+-0.02,-,val:0.902+-0.049
,test:0.915+-0.045,,test:0.913+-0.006
Allergy or not,val:0.873+-0.050,-,val:0.860+-0.059
,test:0.717+-0.035,,test:0.734+-0.008
Allergy milk,val:0.799+-0.047,-,val:0.776+-0.033
,test:0.694+-0.088,,test:0.724+-0.044
