ID,Tag,Group
SRR062998,1,SRR062998
SRR062873,0,SRR062873
SRR062765,0,SRR062765
SRR062794,1,SRR062794
SRR062939,1,SRR062939
SRR062994,0,SRR062994
SRR062702,1,SRR062702
SRR062716,1,SRR062716
SRR062941,1,SRR062941
SRR062963,1,SRR062963
SRR063031,1,SRR063031
SRR062990,0,SRR062990
SRR062862,1,SRR062862
SRR062760,1,SRR062760
SRR062912,0,SRR062912
SRR062793,0,SRR062793
SRR062885,0,SRR062885
SRR063032,1,SRR063032
SRR062871,0,SRR062871
SRR062946,1,SRR062946
SRR063001,0,SRR063001
SRR062906,0,SRR062906
SRR062914,0,SRR062914
SRR062801,1,SRR062801
SRR062964,0,SRR062964
SRR062761,0,SRR062761
SRR062916,1,SRR062916
SRR062758,1,SRR062758
SRR062680,1,SRR062680
SRR062802,1,SRR062802
SRR062950,1,SRR062950
SRR062682,1,SRR062682
SRR062767,0,SRR062767
SRR062784,1,SRR062784
SRR062984,0,SRR062984
SRR062911,1,SRR062911
SRR062755,0,SRR062755
SRR062694,0,SRR062694
SRR062741,0,SRR062741
SRR062908,0,SRR062908
SRR062993,0,SRR062993
SRR062889,1,SRR062889
SRR062776,0,SRR062776
SRR062969,1,SRR062969
SRR062987,0,SRR062987
SRR062890,1,SRR062890
SRR062892,0,SRR062892
SRR062875,0,SRR062875
SRR062735,1,SRR062735
SRR062898,0,SRR062898
SRR062881,1,SRR062881
SRR062899,0,SRR062899
SRR062772,0,SRR062772
SRR062879,1,SRR062879
SRR062740,0,SRR062740
SRR062982,0,SRR062982
SRR063030,1,SRR063030
SRR062863,0,SRR062863
SRR062989,0,SRR062989
SRR062868,1,SRR062868
SRR062768,1,SRR062768
SRR062748,0,SRR062748
SRR062797,1,SRR062797
SRR062880,0,SRR062880
SRR062942,0,SRR062942
SRR062930,0,SRR062930
SRR062932,0,SRR062932
SRR062951,0,SRR062951
SRR062876,1,SRR062876
SRR062926,0,SRR062926
SRR062985,0,SRR062985
SRR062800,0,SRR062800
SRR062874,1,SRR062874
SRR062699,0,SRR062699
SRR062909,0,SRR062909
SRR062949,1,SRR062949
SRR062883,0,SRR062883
SRR062787,1,SRR062787
SRR062763,1,SRR062763
SRR062893,1,SRR062893
SRR062902,0,SRR062902
SRR062887,1,SRR062887
SRR062684,1,SRR062684
SRR062790,1,SRR062790
SRR062927,1,SRR062927
SRR062778,0,SRR062778
SRR062897,1,SRR062897
SRR062751,1,SRR062751
SRR062757,1,SRR062757
SRR062936,1,SRR062936
SRR062966,1,SRR062966
SRR062770,0,SRR062770
SRR062786,0,SRR062786
SRR062918,1,SRR062918
SRR062934,1,SRR062934
SRR062747,1,SRR062747
SRR062904,1,SRR062904
SRR062696,0,SRR062696
SRR062953,0,SRR062953
SRR062701,1,SRR062701
SRR062698,1,SRR062698
SRR062687,0,SRR062687
SRR062940,0,SRR062940
SRR062781,0,SRR062781
SRR062896,1,SRR062896
SRR062749,1,SRR062749
SRR062867,1,SRR062867
SRR062777,1,SRR062777
SRR062675,1,SRR062675
SRR062743,1,SRR062743
SRR062773,0,SRR062773
SRR062886,1,SRR062886
SRR062980,0,SRR062980
SRR062677,1,SRR062677
SRR062992,0,SRR062992
SRR062913,0,SRR062913
SRR062924,0,SRR062924
SRR062995,0,SRR062995
SRR062891,1,SRR062891
SRR062962,0,SRR062962
SRR062928,0,SRR062928
SRR062895,1,SRR062895
SRR062905,0,SRR062905
SRR062795,1,SRR062795
SRR062792,0,SRR062792
SRR062771,1,SRR062771
SRR062870,0,SRR062870
SRR062925,0,SRR062925
SRR062999,1,SRR062999
SRR062785,0,SRR062785
SRR062692,0,SRR062692
SRR062919,0,SRR062919
SRR062878,0,SRR062878
SRR062688,0,SRR062688
SRR062869,1,SRR062869
SRR062679,0,SRR062679
SRR062759,1,SRR062759
SRR062695,0,SRR062695
SRR062783,1,SRR062783
SRR062737,1,SRR062737
SRR062678,1,SRR062678
SRR062672,0,SRR062672
SRR062996,0,SRR062996
SRR062775,0,SRR062775
SRR062979,0,SRR062979
SRR062788,0,SRR062788
SRR062774,0,SRR062774
SRR062965,1,SRR062965
SRR062935,0,SRR062935
SRR062888,0,SRR062888
SRR062920,1,SRR062920
SRR062915,0,SRR062915
SRR062685,1,SRR062685
SRR063000,0,SRR063000
SRR062900,0,SRR062900
SRR063020,1,SRR063020
SRR062943,1,SRR062943
SRR062674,0,SRR062674
SRR062929,1,SRR062929
SRR062910,0,SRR062910
SRR062789,0,SRR062789
SRR062738,1,SRR062738
SRR062756,1,SRR062756
SRR062764,0,SRR062764
SRR062693,0,SRR062693
SRR062779,0,SRR062779
SRR062986,0,SRR062986
SRR062988,0,SRR062988
SRR062948,1,SRR062948
SRR062780,0,SRR062780
SRR062676,1,SRR062676
SRR062922,0,SRR062922
SRR062683,0,SRR062683
SRR062697,0,SRR062697
SRR062690,0,SRR062690
SRR062681,1,SRR062681
SRR062923,0,SRR062923
SRR062882,1,SRR062882
SRR062901,0,SRR062901
SRR062766,1,SRR062766
SRR062700,0,SRR062700
SRR063003,0,SRR063003
SRR062769,1,SRR062769
SRR063029,1,SRR063029
SRR062691,1,SRR062691
SRR062752,1,SRR062752
SRR063002,0,SRR063002
SRR062762,1,SRR062762
SRR062745,1,SRR062745
SRR062866,0,SRR062866
SRR062971,1,SRR062971
SRR062739,0,SRR062739
SRR062983,0,SRR062983
SRR062952,1,SRR062952
SRR062753,0,SRR062753
SRR062671,1,SRR062671
SRR062956,1,SRR062956
SRR062957,1,SRR062957
SRR062877,1,SRR062877
SRR062917,1,SRR062917
